soil_texture,soil_type,pH,initial_moisture,moisture_after_24hr,drainage_rate,electrical_conductivity,nitrogen,phosphorus,potassium,organic_carbon,temperature,soil_quality_score
Clayey,Black Soil,8.397215757953326,67.41852290900452,61.76680353436323,5.651719374641296,0.816550728636634,33.56119164194803,16.984191492253217,245.19113577404786,0.7701254171489992,33.97110259952577,66.3
Silty,Black Soil,8.142031646154289,70.87086424265118,50.41173542164781,20.459128821003368,0.5808143570473069,55.94216754108317,22.1285811931918,101.83941032332594,0.5252419894985146,26.01471542866032,66.24
Loamy,Black Soil,7.660808051417499,66.63501769108056,54.60464818800325,12.03036950307731,0.8459475988463466,46.07845038010402,14.485386189211196,242.4358442695072,0.6646201368099759,27.372490874968,73.45
Loamy,Black Soil,8.149632899047214,63.25399698159268,46.775048550884534,16.478948430708144,0.8288064461501716,42.73234413341886,11.87349535656185,173.54316061188672,0.7547670231482534,27.652023676817254,65.89
Clayey,Black Soil,7.89309772466676,67.43989643379084,55.628822550523715,11.81107388326712,0.8155693129986314,51.79245214166593,20.052741862103844,215.38077692527182,0.7676139665531341,29.92517693818864,75.11
Clayey,Black Soil,7.780772362440856,66.95242987798045,56.895265071149915,10.057164806830535,0.822736147953584,27.084427176281956,28.809171687058285,290.78571540051746,0.5072947899294361,34.14864390220448,70.94
Loamy,Black Soil,8.428318562587725,63.70158700255445,51.60884730338124,12.092739699173208,0.9833274095218347,58.54479908357011,27.060189109347203,158.88977841391713,0.6284552444951943,28.85097728601925,64.19
Sandy,Black Soil,7.6694927466860925,68.51136671516856,40.34214666360579,28.169220051562775,0.9680773870803905,47.84119186699892,21.4012234017873,119.4352987541537,0.6670403787375051,31.1500722669917,71.63
Sandy,Black Soil,8.018329652363736,69.90053850104263,43.49969834867739,26.40084015236524,0.8703843088771022,47.88062963981072,24.049681679742186,171.89823024395105,0.7632119215783867,27.935918442644933,72.91
Silty,Black Soil,8.367072318580103,70.09361155478514,49.42281779203088,20.670793762754265,0.7556711994304689,40.060651787487984,25.965903579335503,229.99278615555303,0.7739721657669414,32.019668772577035,70.76
Sandy,Black Soil,7.837995156851536,67.957926694361,34.05787327618535,33.90005341817566,0.5469909699204345,43.13120563984696,10.718845475934842,193.11960362649205,0.6126748857919833,30.426446347075768,69.63
Loamy,Black Soil,7.530500249939049,62.86541252128284,47.320412957868776,15.544999563414066,0.9113002803298291,34.40762565645052,12.541210253037695,204.44865201096087,0.5112044566247643,32.69993553098611,66.73
Loamy,Black Soil,7.585347464993768,62.15821027496843,46.420867420054435,15.737342854913997,0.7656773157840739,41.62540486440426,22.748598029964132,245.21826674453231,0.5155045163505824,34.75852079462535,72.06
Loamy,Black Soil,8.295186194768704,65.16300348301195,51.225264645364476,13.937738837647473,0.719485710352818,23.138255253690637,10.50701486830915,292.529682935585,0.5812496753786223,33.35980120512206,61.17
Sandy,Black Soil,7.673294320070846,66.95974206093697,37.87021261679428,29.0895294441427,0.6251214490822976,41.969066588244814,24.291918454001248,232.03947534354626,0.5469311128013258,27.799338969459427,73.94
Silty,Black Soil,8.054354052511401,71.54865280663194,51.383374389761556,20.16527841687038,0.709800031213895,29.909239580046297,17.119453573025233,251.56922209287382,0.6835162238703056,25.143934886297558,69.48
Sandy,Black Soil,7.54072880231897,61.16072640506916,35.70069998485164,25.460026420217524,0.8518289296900119,38.96695316349301,11.95668321302003,198.32317502336647,0.7566381752033022,29.734717707805657,73.12
Silty,Black Soil,7.898504734397373,63.73201869910015,45.69505715443434,18.036961544665814,0.8175468254338218,21.81216039088178,17.492252292529425,225.1719831428473,0.684755029415665,30.031362585800878,67.56
Sandy,Black Soil,7.66293442708143,68.56489841188322,36.97796209569377,31.58693631618945,0.8212096391031578,21.060452421664873,21.715511625469265,288.0460482849915,0.5211706242201289,30.754741778758792,70.23
Loamy,Black Soil,7.958252890491517,63.88169926206522,48.0219699514111,15.859729310654117,0.9707324043882626,35.44410551203097,29.223811276478283,281.07012839121273,0.6636850367947805,26.957911347892964,71.87
Loamy,Black Soil,7.518221825651549,60.693613008751655,48.088945000487094,12.60466800826456,0.8415033867081785,22.84754593840916,16.379512605875227,268.97506219389095,0.5283328882267785,25.23271935735826,68.62
Clayey,Black Soil,7.618164827621657,73.14468482588936,66.17170140247556,6.972983423413794,0.8144714233899419,55.09888054108212,24.701420876077716,260.69618607696975,0.7090211496092452,27.820345725713064,80.65
Sandy,Black Soil,8.306834739267265,61.77439543779723,29.26824792138865,32.50614751640858,0.7063088384557132,34.88072343171133,25.528259214839935,168.16070805060357,0.797151542600202,34.307573256035646,68.14
Sandy,Black Soil,8.250871067791497,68.58412751843012,39.29418724467994,29.289940273750183,0.5515619344179663,56.102116267182666,20.105047448957144,265.2914932215483,0.7263628622254048,28.200496010306118,73.83
Clayey,Black Soil,7.510837651480299,73.95523228496201,66.23082053382286,7.724411751139144,0.5456433383930668,32.7725455036166,29.0012393410161,290.1214293875112,0.7716145929257792,30.73437888123286,84.48
Loamy,Black Soil,7.793210771698065,66.31837212169799,51.627698989828076,14.690673131869914,0.8362592280385193,50.0949811775072,25.83158087451697,257.92362855891076,0.5985993636109748,25.912061030486903,74.29
Sandy,Black Soil,8.049528882323736,64.94420304702581,39.368615446859366,25.575587600166443,0.9438520913791499,34.03660050208315,12.341340328552118,128.59833641056719,0.6324591504120132,32.61510631717472,61.26
Clayey,Black Soil,7.584106806114997,71.18218063316262,65.47432190030308,5.707858732859535,0.5363815031820968,52.87440237161425,24.124844543129925,116.26975612837995,0.710290739437736,25.84837714085192,78.71
Sandy,Black Soil,7.870642147066891,69.86639578501175,41.123687827450546,28.7427079575612,0.9736242886919293,59.44004255291483,25.067563705178834,175.25191710618316,0.7438398701772508,25.83500716698669,75.47
Silty,Black Soil,7.924222009246976,69.77146915927437,50.86263941112374,18.908829748150637,0.5555987411530756,39.705004171634364,10.227072895348382,193.73212839882524,0.7719063155284208,25.563032756818373,72.27
Loamy,Black Soil,8.149210302116064,61.18817916268072,48.48302168201809,12.705157480662628,0.7916843825485798,58.486901938981674,17.49741159047408,157.14241725637214,0.723813463779627,33.6859912818946,68.25
Silty,Black Soil,7.512154474689816,64.23595838519452,42.49340060911024,21.742557776084283,0.5215799559752881,55.645724547922846,20.554022181725998,298.5929592238601,0.7909636480122917,25.737965647353988,84.96
Loamy,Black Soil,8.023097844170149,65.53854284401321,47.722727630298614,17.815815213714593,0.8478743444923086,38.18164259071093,22.55116160168127,216.86286238462003,0.6888195914405788,34.01158010490989,69.71
Clayey,Black Soil,8.45041148407656,65.45446380341458,58.48772147626897,6.96674232714561,0.7278283763928565,44.80530391206147,15.547623659622653,137.62423194475227,0.767079135167275,29.63698404939982,63.98
Loamy,Black Soil,7.577734636964985,63.53352228026053,48.03158560915529,15.501936671105234,0.9931053722398014,47.92646856078981,20.72192732688241,161.90552325726554,0.7923184422998499,33.137950197069486,75.66
Loamy,Black Soil,8.410927184493843,66.84731172553879,53.87161008946944,12.975701636069346,0.974899956645962,49.0287803355344,22.268303918715798,183.64860725812377,0.7467611728769508,34.32728483354013,66.14
Clayey,Black Soil,7.526366974497252,73.66063889500408,68.34410820426076,5.3165306907433205,0.9052766653909164,59.49104517259778,13.008337822070564,218.826143070427,0.6129390100634149,28.808908566310215,74.91
Loamy,Black Soil,8.338328704711138,69.69914397814603,52.64643043933177,17.052713538814253,0.7074097511688326,30.93628287722825,11.127509933018542,272.94447525101066,0.6406079479384911,33.12901009130078,63.89
Sandy,Black Soil,8.055431705602627,69.9971767328613,35.03080836212225,34.966368370739055,0.9723828649412141,53.98589562709646,14.946962034863953,190.1088270620187,0.7306962245541532,26.29159415151495,69.71
Clayey,Black Soil,7.728642805503463,74.54051027258723,65.29728783143106,9.243222441156163,0.8090641202289479,34.326508721313616,12.27115184399258,234.3146391185599,0.701510205321757,30.203077009037933,72.05
Clayey,Black Soil,8.35218150031854,72.7231839173564,64.08203940957245,8.641144507783949,0.7804689857676932,55.0661441063338,18.06965732424794,126.80304569012814,0.6655720516323457,25.28782676313339,65.07
Clayey,Black Soil,8.204079768099223,72.5513725567362,63.20920569726194,9.342166859474254,0.5681857377933849,20.581786626715278,17.011751176131938,217.98353737092663,0.5638892484526732,28.92244045099732,63.42
Silty,Black Soil,7.8482554670233,66.37474922023729,45.04563835878105,21.329110861456243,0.8918265063705715,35.861711292850806,22.441734004557468,272.47274174934904,0.6541968467479433,34.49520623657642,72.07
Silty,Black Soil,7.992116293079539,63.47073480929038,41.984621433159916,21.48611337613046,0.7295678781191306,59.201303011419085,19.85236187985739,165.75032205750165,0.5774733164896875,31.334008543167258,68.51
Loamy,Black Soil,7.628879721910649,62.40145618778193,49.94627621912995,12.455179968651983,0.5759513467561472,25.553086905976407,22.817494896064293,136.37601687982897,0.5384137516873317,28.45667283323863,68.33
Clayey,Black Soil,8.167557738521028,73.96788409906011,65.65015261722002,8.317731481840099,0.5961445094043354,21.634744650659155,13.378701261443291,155.71806780639173,0.5516959613604889,26.770104842767466,60.77
Loamy,Black Soil,7.960778768032726,60.887025337570556,48.16321011096695,12.723815226603605,0.6821349305240377,40.136690834194276,23.807896572587307,107.86242796821979,0.5619001155217378,32.994103989090426,65.15
Sandy,Black Soil,8.373578624106777,66.27900389490908,40.461413575420366,25.817590319488716,0.5305389799274318,31.07510592588815,26.124025595861227,249.65193807673168,0.776261720159544,26.845210193563773,70.97
Clayey,Black Soil,7.984522985191021,67.0934932333671,59.500188513827425,7.593304719539674,0.6844568197848862,38.50138864532592,24.94941876267513,107.33664057811959,0.6854764314590889,27.524369443440207,69.33
Sandy,Black Soil,8.011677442115666,67.13349585884552,33.18142748197353,33.95206837687199,0.553586005669888,37.89649467293819,20.652345329100463,148.49410072694593,0.6596340455795947,27.69243230949381,69.2
Loamy,Black Soil,7.822079165583178,63.77284163104623,51.65241444437987,12.120427186666355,0.6637486760889573,24.79048527277005,27.8105456147979,218.71849071080973,0.5634344020989634,31.791023191444896,69.74
Silty,Black Soil,7.586920288087423,69.89171238607338,51.40261699356998,18.4890953925034,0.7934205590104395,49.8175789673732,18.63319092459359,125.51606055911276,0.6611319625455644,27.837759057987245,73.8
Loamy,Black Soil,8.070778304668911,63.630822963986354,47.755319515996746,15.875503447989608,0.9932576243964899,44.230992774275485,14.74453583471989,120.35649452408074,0.6068290177693538,26.52859139184332,61.55
Sandy,Black Soil,7.686567024051306,62.45957728384508,35.852763551249524,26.606813732595555,0.5866867976473774,55.870616985057005,11.604674913232845,204.90227791405093,0.5855285506081541,29.103968269896615,71.72
Clayey,Black Soil,7.897855599045742,74.82378616908606,69.0395138539097,5.784272315176366,0.9327535629469901,52.6828828379712,15.158056540898796,134.17751747801316,0.7908411299826107,31.686432199244308,71.81
Loamy,Black Soil,8.0716126894699,69.29375989127585,53.953182533192276,15.340577358083578,0.8847464665959685,27.481749942300937,16.473584728084873,185.08728772328334,0.5839937280980853,30.07610378684455,62.95
Clayey,Black Soil,8.110620042441633,67.42409732415081,61.62023955097638,5.803857773174428,0.7906191107113061,26.174508610968093,19.62280203709635,206.51788651031717,0.5865891659720768,25.518235368224268,64.12
Silty,Black Soil,7.5633749704727675,65.3660427819392,49.42514004336638,15.940902738572817,0.6611769224873615,52.3949778341854,15.092813095275277,236.30054444478586,0.7969880697169835,32.602278598896866,79.96
Silty,Black Soil,7.911840914147269,67.95638740607845,49.65535408622734,18.301033319851108,0.9647645721239129,53.22477631150917,29.300538213330253,124.85944469710894,0.6046604799628986,32.308674752036445,70.04
Silty,Black Soil,7.5664962673667775,71.38340456821038,55.11477310505076,16.268631463159622,0.787236556589956,53.67315107033088,12.79544753252579,259.05346237197807,0.7223361947870177,27.016273200477446,78.28
Clayey,Black Soil,8.314574720231382,66.63655942865705,60.486698843140104,6.149860585516947,0.7615327123845597,34.3532193649401,27.544010816262166,178.4890214845271,0.69955916620886,33.16599439471577,67.0
Loamy,Black Soil,7.962679785669606,64.39134908570219,50.129682509152744,14.261666576549445,0.8738046900881256,40.10881560369917,14.644253902936345,279.9149146549137,0.5904133622492427,28.838912213732115,67.39
Clayey,Black Soil,8.124237995913992,70.43552861113989,59.090223834388055,11.345304776751831,0.9699160618067375,45.10832212285671,16.698112293141723,127.85441453267745,0.5350694122125093,32.94025189270296,61.5
Clayey,Black Soil,8.393892583050958,71.20072755928514,62.46649991545089,8.734227643834252,0.5758374398663756,32.468882711821934,14.969782796289316,248.7892585145354,0.7365791633673593,25.335324347357794,67.25
Loamy,Black Soil,8.37676563676175,65.69889684871316,49.12414473426902,16.574752114444145,0.9106286523360064,24.42526947820829,26.929045834690363,125.49773246639649,0.6026245246147722,28.972872905603673,59.46
Silty,Black Soil,7.729251395232642,69.97295365779553,53.92353166635411,16.04942199144142,0.8600182682730372,45.645905315411895,23.878968889342,208.54488866951925,0.7166757705179199,27.517990589069527,76.11
Silty,Black Soil,8.408450561333629,65.4569599350392,49.18577591742921,16.271184017609983,0.70042570838182,38.48023214576531,28.945666792236306,130.67028062321603,0.6750175384298361,30.862298320167973,65.06
Loamy,Black Soil,7.51811018382084,65.05888678884466,49.390161376236776,15.668725412607884,0.9660591412418063,42.60532734356836,23.933016477537844,284.49987623545917,0.7616371726832455,32.072386343133985,79.73
Clayey,Black Soil,8.106715046382856,66.52539042914262,57.49137190797492,9.034018521167695,0.8682221178123615,57.37468059076059,28.51137025813553,190.16787428082642,0.6272392013907158,26.132380458407553,70.76
Clayey,Black Soil,7.624662681203267,74.84841198962334,63.976125384501806,10.872286605121538,0.9349481810310641,40.753522285042884,21.825508714898586,179.80054077402605,0.7762525647852118,25.547616388220312,76.3
Silty,Black Soil,7.504632023004603,65.351972416459,44.731998276272925,20.61997414018608,0.6990843467954717,41.49582411751692,28.39711232825521,169.26919887319224,0.6000497515073433,28.469532018962276,75.81
Sandy,Black Soil,7.724604822939982,67.37501248109749,37.85283307219942,29.52217940889807,0.5704285101898999,27.055479460248932,19.967355454789594,183.78508990090958,0.6357318548398081,34.148459010681,71.4
Sandy,Black Soil,8.132264287919531,63.623938991166334,32.818055488385895,30.80588350278044,0.8317686860083553,27.121438674790056,29.221406349389103,129.7325455506226,0.5039283369765001,29.14624123727024,61.33
Sandy,Black Soil,8.002195010331242,60.853496680786435,25.884754162326963,34.96874251845947,0.5335382386942138,49.99841881596711,14.198111861911716,279.61085788814273,0.6786155051960132,27.05139640482007,72.13
Clayey,Black Soil,7.972066945109999,66.90687720663666,61.651029531700004,5.2558476749366605,0.5328543197141762,51.02110466780042,19.065776694960554,204.878053865516,0.669452339978785,29.40762746938228,73.0
Clayey,Black Soil,7.655240245930712,69.00763060875326,60.09014828959573,8.917482319157529,0.9308928105067587,57.84461848534531,17.46618632559506,154.14893462871075,0.5545784391485813,31.439995432390155,70.65
Silty,Black Soil,7.656152597366191,66.08734171098097,50.90963722135855,15.177704489622414,0.8294619709550757,21.08383970013934,14.439443238658988,146.21495931761427,0.7147916686542193,31.718927435987283,68.61
Sandy,Black Soil,8.299916085373189,60.19710537754364,34.1560195576979,26.04108581984574,0.8263730539259373,29.52731124186906,11.988827855186903,148.6344381998908,0.5535633986163001,32.22266931855659,55.85
Silty,Black Soil,7.897183529618455,70.55696468106285,49.74542562909391,20.811539051968943,0.6024921477079105,31.72590921044053,27.926716370422394,102.60038470214721,0.7004255409711939,25.85508530854468,71.79
Silty,Black Soil,7.6814354350897975,64.07886255146028,48.89313712434354,15.185725427116736,0.7107122752962489,55.706868443078996,26.34887123476882,168.3634703395752,0.6749124682909077,27.594234334312926,76.49
Silty,Black Soil,7.768063640822876,65.79692408167267,46.66485948406901,19.13206459760366,0.7047058260956203,42.08188723407921,18.722530582706334,158.89315190838354,0.6872446723547403,34.48453306962156,71.85
Loamy,Black Soil,8.368467975897913,67.63605794159761,54.7953788869989,12.840679054598716,0.9472761134470458,51.99421023789261,18.50427008938467,104.49386166402348,0.646229359474854,27.68677359384946,61.7
Sandy,Black Soil,7.757887685433202,65.41634214660867,34.0815599483472,31.334782198261472,0.9174651183996496,59.37608722814208,20.513803646053717,134.3358571696607,0.5418068222218473,27.72307326519369,68.88
Sandy,Black Soil,7.617751082890141,60.18390676547467,26.040918699869678,34.14298806560499,0.637027610343603,42.167120100631735,23.028407767037287,265.9483607414403,0.6729549426542761,27.064212717606033,76.86
Loamy,Black Soil,8.400018641848105,60.109958286584806,47.28864450617196,12.821313780412844,0.7987065510851541,44.020674417346136,23.30073349092511,135.07425572468992,0.7621670232687546,34.144119459249595,64.78
Loamy,Black Soil,8.018917705282838,64.18770524892074,49.88887407942375,14.298831169496985,0.5831416843780397,49.52134465705482,11.655973358502528,220.63042189327763,0.5140897900325165,27.45349109681321,65.74
Sandy,Black Soil,7.855672716464949,63.89295614041976,36.006018772712764,27.886937367707,0.6485608578115876,42.656185611875884,19.521008043981993,232.73423307252963,0.7157137715552737,34.36829739324758,73.84
Loamy,Black Soil,7.531183135061284,67.3257209721025,54.036078700557965,13.289642271544537,0.7975389653501275,22.057032539370013,19.927324944024726,219.36856978337784,0.5786792132899475,28.34243890816961,70.97
Silty,Black Soil,7.575137781735808,69.70912203745822,53.96293426552181,15.746187771936405,0.7477456581030992,47.536095857109444,18.696546772074925,149.28040664782137,0.718456626861081,33.19102317674199,76.04
Clayey,Black Soil,7.772145137229963,72.99415878968979,63.13128349370881,9.862875295980984,0.6804869484700133,23.663282933065368,28.346271509244858,127.36372618379228,0.6770692000607261,34.502373538208026,71.87
Silty,Black Soil,8.041900947378359,66.46005772957956,50.16412722770922,16.295930501870338,0.8661124432047806,52.26244591445799,23.175667334214346,238.4553129035705,0.7618837507629226,33.49195651565319,74.09
Sandy,Black Soil,7.721209441819602,62.49668008859186,32.602430452160455,29.894249636431404,0.9720296698433066,21.577072454740236,24.11150345031377,285.04966348313314,0.7963004023989941,26.805753451273336,74.61
Loamy,Black Soil,7.533945978585799,65.6794523055263,48.18652251999805,17.492929785528247,0.6486745036862753,56.975847815061215,29.421164903307357,288.8532978226868,0.709226080174052,29.742142166574638,84.37
Clayey,Black Soil,7.819100473243256,73.62042650989314,62.708580720147644,10.911845789745492,0.5185038173577463,43.85079513928212,14.60017674575406,124.11337715545577,0.7486746422452033,25.769532016292093,73.18
Sandy,Black Soil,8.224766771528762,66.96288775878139,38.564138121100726,28.398749637680666,0.6576451689153051,41.57965169501349,25.814463296779273,163.75050058641398,0.5196069022396828,31.258913764370092,64.59
Loamy,Black Soil,7.732959474753634,68.85977748236186,53.16459835326803,15.69517912909383,0.9350494369504649,20.850776434015486,27.49403345368399,205.7874268054424,0.5073202344669614,34.39067698512896,67.51
Clayey,Black Soil,7.85071181545171,72.98783235773665,61.00229358400329,11.98553877373336,0.7009654568046211,39.195024812156355,22.5501092643674,274.7354228372677,0.7301564866793381,34.84083469199295,76.7
Clayey,Black Soil,7.9213570022770705,72.68273413864519,64.75836666347385,7.924367475171337,0.6193885728841512,24.418964525255788,17.09244315281553,157.44779833081634,0.7212746904766675,27.963081204559902,69.38
Loamy,Black Soil,7.517873934733414,62.3360775104991,50.08351837268093,12.252559137818174,0.7138865668679312,35.373065886387266,23.5929456538614,143.65077757301282,0.7963167169208095,34.49961183950225,76.89
Clayey,Black Soil,7.917580775784929,72.86345014415552,67.23757312796971,5.625877016185811,0.9723660111457051,38.69606044999479,22.268227784214154,133.40678921841504,0.7637354922686495,34.911686261369766,70.6
Sandy,Black Soil,8.149646648992368,62.316717013834435,27.889399272483175,34.42731774135126,0.7563442555082542,29.226792468710347,13.530560640110165,144.09724181403507,0.6823210384636578,26.864382621442545,62.19
Loamy,Black Soil,7.557842676563396,67.79584473566753,53.69509318066715,14.100751555000379,0.9418929424817128,57.11009132780852,29.898156452928706,134.77904984389747,0.7907307890422435,28.962420189026588,80.24
Silty,Black Soil,7.653895906339855,69.58238475704091,49.71024043066437,19.872144326376542,0.6122202859183303,28.952704592904922,20.73948845786827,218.58798696834063,0.7447499374971853,30.80086207837811,76.62
Sandy,Black Soil,7.765600042588706,60.91486837397755,27.140259747673745,33.7746086263038,0.9443740399344887,58.226059929190136,27.24255234530901,261.9032149449756,0.5388544763848413,31.55241980639022,72.8
Sandy,Black Soil,7.908453213070699,65.5085737060914,39.638706106977295,25.8698675991141,0.6298768918801632,48.936804547543396,19.917514701575417,116.20924318152959,0.6118065551036942,27.201832019498113,68.81
Loamy,Black Soil,8.351206914048769,66.83258763659596,54.375802479654155,12.456785156941805,0.740293288663324,43.6963113863807,26.493619318502983,169.56184158043862,0.6485439581041923,31.780161525590636,66.23
Loamy,Black Soil,8.378629986355158,65.6573196399579,52.055150018941376,13.602169621016529,0.8292259173292127,54.023269163769676,27.34588401919605,241.67259534300695,0.7392278064820785,33.37013328363672,70.91
Clayey,Black Soil,8.118611378215185,71.97471461669284,62.21372921437073,9.760985402322106,0.5793025526465369,55.23483036795714,27.43687055490464,105.84945660691183,0.7258149918672924,33.25816750564763,73.05
Sandy,Black Soil,8.243508256291609,61.288698674734455,32.93751013214303,28.351188542591423,0.9089835120595311,53.28536711830968,20.149354675216724,101.27717434336671,0.5482279688144924,27.87038133174913,60.29
Clayey,Black Soil,8.131813527016668,71.16926918375742,59.30096593756546,11.868303246191964,0.8170028515498057,41.59941518863422,25.596907903022874,121.39612776539168,0.5779410743192479,32.61027902502028,65.43
Sandy,Black Soil,7.841872166038686,65.4126657867611,30.782745748171152,34.629920038589944,0.9660140527550087,24.10038911962717,28.744569744729024,237.57714446016266,0.6897865679401844,25.67837059105172,71.42
Sandy,Black Soil,7.567350601468772,63.00963566946816,30.927914783015346,32.081720886452814,0.6729415284764784,44.83662071069908,10.914840676250257,274.3073612304753,0.674651138052882,34.73488969177397,75.11
Silty,Black Soil,7.630086240130632,71.68877855285692,51.441215730656445,20.24756282220047,0.5122934582294008,20.88494206115989,16.472204382990824,197.72863808093314,0.7274789587787068,32.70407417807793,74.44
Sandy,Black Soil,7.7736266662816655,66.83295376606505,37.37392670229757,29.45902706376748,0.7130906511179864,38.05548097318702,13.272476423833384,258.96190974998586,0.7991373500473133,31.936822257814885,75.45
Clayey,Black Soil,8.180499302074713,67.2076961278876,61.6310288085767,5.5766673193109,0.6366297634991047,58.03454249001641,13.021157835618006,186.4669602085204,0.6963533642843406,34.43615920167599,69.14
Clayey,Black Soil,7.897594397962794,69.19727316926122,59.727591535612625,9.469681633648598,0.9919888239799142,36.37336025260172,27.88198407358269,145.99092117821723,0.582264560704601,27.131047040250834,67.58
Silty,Black Soil,7.868526343723762,62.31134082884511,42.74967305121392,19.561667777631193,0.7366049533457786,58.72773711658887,13.710510314062423,273.72463359112214,0.7593074749518911,32.765968527917416,75.52
Clayey,Black Soil,8.261023990942999,72.70921844644052,61.795735849622304,10.913482596818213,0.5656224388411938,21.301047179650077,28.416956956313737,223.3300629041476,0.6878660964894246,32.96537290976176,69.25
Loamy,Black Soil,7.625185792202551,64.8152235151255,52.111374381351126,12.70384913377437,0.7151529474497313,28.02098906801347,19.83189093482874,112.84178741502681,0.7056695861686915,30.819714019143987,70.89
Silty,Black Soil,7.810361958923574,64.68993404435098,44.10702033989066,20.582913704460317,0.5058102699540503,22.897875511782356,17.849871128133696,195.9877669434247,0.6365660447245404,31.000205481193035,69.44
Clayey,Black Soil,8.360122397189205,67.91662578709304,58.05175258420724,9.864873202885796,0.5198094126741786,39.220277890313156,12.098603568363497,148.4090031725055,0.733955296668005,34.86662593267147,64.93
Clayey,Black Soil,8.118155734318119,66.42495542901513,57.93273835485564,8.492217074159491,0.779824341743457,20.390833896767347,16.529226164879837,203.5423286769423,0.7107394911632312,25.878664991448332,65.25
