crop_type,state,year,month,avg_price_per_tonne,min_price_per_tonne,max_price_per_tonne
Maize,Punjab,2023,12,18655.88,17522.65,20594.86
Sugarcane,Punjab,2020,1,3625.64,3164.44,3961.78
Cotton,Madhya Pradesh,2021,9,52558.93,48974.49,59710.78
Maize,Maharashtra,2021,11,17104.6,15252.87,18339.74
Cotton,Karnataka,2021,3,63484.89,54723.12,68802.48
Maize,Uttar Pradesh,2020,1,19510.84,17596.42,21858.03
Rice,Punjab,2022,7,19784.05,17535.85,22695.83
Wheat,Maharashtra,2021,3,22089.35,19405.14,23275.3
Rice,Karnataka,2023,3,23293.49,21219.35,25629.08
Rice,Madhya Pradesh,2021,7,20327.64,17573.03,22338.96
Wheat,Madhya Pradesh,2023,1,25279.7,23979.44,27155.59
Sugarcane,Karnataka,2023,11,3724.49,3254.32,4181.94
Rice,Punjab,2023,8,19385.24,17190.41,21580.24
Maize,Punjab,2022,8,17298.15,14859.61,19607.98
Rice,Madhya Pradesh,2020,1,24870.46,21937.69,26577.86
Rice,Punjab,2022,3,22539.65,20685.91,23704.02
Cotton,Punjab,2021,10,49857.04,44931.63,53479.13
Maize,Madhya Pradesh,2024,8,16800.37,15441.12,18290.12
Sugarcane,Uttar Pradesh,2021,12,3722.88,3513.18,3960.22
Cotton,Maharashtra,2023,8,48082.91,45316.67,54705.56
Cotton,Maharashtra,2020,1,56864.33,49801.45,63460.5
Cotton,Madhya Pradesh,2020,9,54085.51,48837.33,58097.86
Maize,Karnataka,2024,1,21210.43,18226.34,24173.98
Cotton,Uttar Pradesh,2022,1,60774.68,53718.92,65935.72
Wheat,Madhya Pradesh,2023,1,25808.01,23810.36,29413.67
Wheat,Madhya Pradesh,2021,12,24035.54,21973.37,25439.55
Rice,Punjab,2021,7,19726.45,17086.32,22485.3
Sugarcane,Punjab,2022,5,3799.79,3231.74,4050.88
Cotton,Madhya Pradesh,2020,10,52291.34,47317.04,58523.92
Rice,Karnataka,2023,5,21068.7,19408.86,22621.99
Wheat,Karnataka,2023,1,25208.21,22247.25,28350.39
Cotton,Karnataka,2022,7,58034.28,53145.55,64234.13
Maize,Punjab,2021,1,19649.5,16886.14,21354.52
Cotton,Uttar Pradesh,2021,7,51893.84,49159.09,56528.47
Rice,Madhya Pradesh,2020,12,20784.19,19520.61,23135.17
Rice,Maharashtra,2024,1,21013.0,19073.3,23098.58
Cotton,Maharashtra,2020,12,58997.22,51299.52,66209.35
Wheat,Punjab,2020,10,19318.66,18237.7,22127.46
Rice,Maharashtra,2021,9,18482.47,17400.99,20090.74
Sugarcane,Uttar Pradesh,2022,10,3407.58,3224.8,3868.63
Rice,Karnataka,2021,11,20067.17,17647.97,21843.31
Sugarcane,Punjab,2022,11,3313.36,2872.52,3663.52
Sugarcane,Uttar Pradesh,2021,11,3607.87,3404.44,4039.38
Sugarcane,Punjab,2024,2,3724.5,3394.88,4279.47
Sugarcane,Punjab,2024,6,3596.9,3107.75,3963.18
Rice,Karnataka,2021,4,23393.76,21515.28,26206.82
Wheat,Madhya Pradesh,2022,8,22319.19,19773.67,24090.42
Rice,Maharashtra,2023,10,18782.98,17594.15,21437.47
Rice,Punjab,2023,10,19147.09,17254.1,21064.7
Wheat,Punjab,2022,3,25311.98,23292.0,28591.89
Wheat,Uttar Pradesh,2020,11,22985.12,21583.04,24911.26
Cotton,Maharashtra,2020,9,47374.73,43008.11,49913.74
Sugarcane,Uttar Pradesh,2020,1,3780.56,3389.5,4174.74
Maize,Maharashtra,2021,5,19517.63,16649.51,20566.41
Wheat,Madhya Pradesh,2020,2,24043.69,22414.97,26111.91
Rice,Uttar Pradesh,2021,12,20864.28,19341.17,22357.79
Sugarcane,Punjab,2021,7,3202.89,2921.96,3390.37
Sugarcane,Uttar Pradesh,2021,1,3829.98,3462.55,4265.61
Wheat,Uttar Pradesh,2021,12,22163.24,20448.01,25434.21
Wheat,Karnataka,2022,11,19926.34,18521.9,21462.33
Maize,Maharashtra,2023,9,16367.81,14631.14,17314.62
Wheat,Karnataka,2024,8,21855.91,19471.33,23327.46
Wheat,Uttar Pradesh,2024,5,24976.33,21620.6,26850.16
Cotton,Madhya Pradesh,2020,7,61285.0,56138.27,66064.82
Rice,Maharashtra,2020,5,21404.98,20238.12,24054.7
Rice,Uttar Pradesh,2020,11,21882.16,19518.01,23518.36
Rice,Karnataka,2023,12,22232.47,19689.01,25028.97
Maize,Punjab,2020,2,20349.46,18261.96,21566.02
Maize,Karnataka,2024,8,18124.79,16297.11,19889.19
Rice,Punjab,2021,9,18107.43,16112.91,20127.95
Maize,Punjab,2024,12,17237.0,15746.16,18176.94
Sugarcane,Madhya Pradesh,2020,5,4221.22,3800.42,4793.82
Sugarcane,Maharashtra,2021,2,3551.83,3253.01,3787.29
Rice,Karnataka,2020,5,22459.06,19149.74,24897.61
Maize,Uttar Pradesh,2021,2,19801.0,18692.6,21930.55
Maize,Karnataka,2023,4,22159.79,19851.3,24476.85
Maize,Madhya Pradesh,2023,1,19297.97,18220.11,21007.97
Rice,Uttar Pradesh,2021,6,21080.99,18068.91,22807.47
Rice,Karnataka,2023,6,20577.3,19229.23,21654.05
Cotton,Uttar Pradesh,2020,3,61299.25,52828.7,68635.16
Cotton,Madhya Pradesh,2022,12,61736.41,56358.82,70240.43
Wheat,Maharashtra,2024,2,24799.4,21778.92,26479.41
Cotton,Uttar Pradesh,2021,8,53977.81,49932.79,61031.82
Maize,Madhya Pradesh,2022,10,17737.64,15736.87,20001.7
Cotton,Karnataka,2023,11,55707.65,49250.04,63678.06
Sugarcane,Uttar Pradesh,2020,12,3601.91,3332.08,4053.79
Rice,Uttar Pradesh,2024,4,23700.11,20389.5,27024.18
Cotton,Karnataka,2021,8,56841.14,50134.17,64773.45
Cotton,Maharashtra,2024,5,57807.76,51386.48,60760.8
Rice,Maharashtra,2022,9,18324.17,17317.45,20291.16
Sugarcane,Maharashtra,2023,10,3174.12,2898.55,3475.17
Rice,Maharashtra,2023,10,17261.93,15833.54,19423.77
Maize,Maharashtra,2022,4,18466.08,17157.9,20847.5
Wheat,Uttar Pradesh,2020,8,20885.06,17872.51,23077.01
Wheat,Uttar Pradesh,2021,4,23874.49,21347.45,27187.56
Sugarcane,Madhya Pradesh,2024,4,3962.9,3425.13,4462.82
Maize,Maharashtra,2020,3,19510.75,17790.33,20683.59
Cotton,Karnataka,2024,12,58973.66,50556.72,66769.15
Wheat,Uttar Pradesh,2021,5,23466.36,21603.7,24830.57
Cotton,Punjab,2022,11,49312.77,45923.99,56449.55
Maize,Maharashtra,2024,2,18292.13,17351.92,20584.83
Wheat,Maharashtra,2024,6,21209.71,19676.56,23454.55
Rice,Punjab,2024,11,19166.55,17104.65,21862.05
Cotton,Karnataka,2023,3,64077.71,54538.81,70284.67
Sugarcane,Karnataka,2022,8,3213.26,2749.36,3412.1
Wheat,Karnataka,2021,10,21655.42,20022.7,24001.5
Sugarcane,Maharashtra,2021,6,3355.23,3174.78,3648.77
Wheat,Karnataka,2020,2,26098.73,22767.48,29917.55
Sugarcane,Karnataka,2020,10,3318.49,2824.75,3806.27
Sugarcane,Karnataka,2024,6,3749.22,3214.5,4144.33
Rice,Punjab,2024,1,21432.59,20295.17,23625.35
Sugarcane,Punjab,2020,12,3823.95,3424.17,4255.12
Maize,Maharashtra,2021,12,18863.34,17136.05,21506.39
Sugarcane,Punjab,2024,9,3596.22,3156.54,3843.68
Rice,Karnataka,2024,12,20391.7,18278.5,22131.83
Maize,Karnataka,2024,6,18396.78,17429.84,21130.93
Maize,Punjab,2022,1,19413.35,17856.71,21424.76
Maize,Karnataka,2023,11,18981.38,17433.89,20239.12
Maize,Uttar Pradesh,2023,11,17264.79,16247.77,19548.12
Wheat,Madhya Pradesh,2022,4,24365.42,22983.24,27693.89
Rice,Karnataka,2022,8,21195.48,18112.0,22311.14
Sugarcane,Uttar Pradesh,2022,2,4161.64,3948.26,4432.32
Wheat,Punjab,2024,4,23867.27,21705.21,25969.72
Sugarcane,Punjab,2020,1,3728.46,3323.85,4016.82
Rice,Maharashtra,2024,12,21237.82,18171.88,24136.19
Maize,Karnataka,2021,12,19084.72,17689.6,21842.01
Cotton,Punjab,2024,4,61087.6,57114.75,65652.97
Maize,Maharashtra,2023,1,17939.14,16959.75,19923.52
Wheat,Maharashtra,2021,2,23748.64,20729.34,26531.27
Sugarcane,Punjab,2021,6,3301.53,2843.79,3688.33
Cotton,Karnataka,2021,8,56764.68,51203.49,63986.95
Sugarcane,Punjab,2021,5,3954.88,3579.92,4374.47
Cotton,Maharashtra,2022,5,57935.68,54324.28,63170.07
Sugarcane,Maharashtra,2021,2,3916.05,3604.36,4195.25
Wheat,Maharashtra,2022,3,25705.49,22200.22,27028.15
Wheat,Maharashtra,2024,3,25364.27,22554.53,27742.11
Sugarcane,Uttar Pradesh,2023,6,3332.22,3133.67,3614.88
Sugarcane,Uttar Pradesh,2023,9,3538.91,3148.41,3936.01
Rice,Karnataka,2023,4,23110.07,21636.49,26459.92
Cotton,Uttar Pradesh,2024,3,58235.7,52174.15,66854.77
Cotton,Punjab,2022,2,60805.65,54680.2,65844.93
Sugarcane,Maharashtra,2022,4,3574.83,3065.73,3799.64
Wheat,Karnataka,2021,2,26076.21,22498.67,27776.13
Sugarcane,Uttar Pradesh,2023,5,3886.15,3373.91,4214.79
Sugarcane,Karnataka,2022,2,3866.82,3633.57,4243.43
Wheat,Punjab,2024,12,21355.7,18562.99,22510.76
Wheat,Punjab,2020,7,21872.45,18961.08,23575.42
Cotton,Madhya Pradesh,2021,7,56135.67,48873.59,60987.31
Rice,Maharashtra,2022,3,20964.76,18875.45,23460.39
Wheat,Uttar Pradesh,2023,12,22110.3,20725.26,25251.89
Maize,Punjab,2020,6,18552.58,15883.01,19993.89
Wheat,Punjab,2020,1,24237.58,21049.18,25956.87
Rice,Karnataka,2022,7,20897.51,18537.08,22954.92
Cotton,Karnataka,2022,6,54133.22,48517.09,60886.18
Sugarcane,Madhya Pradesh,2022,11,3830.2,3269.72,4118.4
Sugarcane,Punjab,2024,2,3980.07,3586.71,4390.86
Maize,Maharashtra,2020,9,16480.13,14184.73,18041.48
Cotton,Maharashtra,2023,6,50582.27,44356.82,55019.77
Wheat,Karnataka,2021,10,21524.24,18338.81,23293.7
Rice,Punjab,2022,3,21793.43,18785.42,24823.87
Maize,Karnataka,2022,11,17152.61,15597.88,19175.08
Rice,Karnataka,2021,9,19072.03,16377.0,21050.0
Maize,Karnataka,2020,1,21365.95,19414.9,24026.95
Maize,Uttar Pradesh,2024,8,16165.28,14199.22,17560.48
Rice,Maharashtra,2024,12,19809.66,18117.75,21930.84
Sugarcane,Uttar Pradesh,2020,12,3395.25,2920.52,3616.91
Sugarcane,Maharashtra,2024,2,3901.63,3412.35,4159.4
Sugarcane,Uttar Pradesh,2024,2,3851.56,3340.6,4389.53
Maize,Uttar Pradesh,2024,2,19563.61,16786.03,21567.92
Rice,Punjab,2024,4,22437.15,19322.96,24451.68
Cotton,Karnataka,2020,3,63991.85,60596.89,72729.98
Rice,Karnataka,2023,3,22743.23,19720.4,25401.1
Sugarcane,Madhya Pradesh,2021,6,3912.19,3688.95,4325.62
Rice,Uttar Pradesh,2020,11,18090.59,16769.06,19333.49
Cotton,Uttar Pradesh,2022,11,55834.24,49266.34,61001.34
Rice,Karnataka,2021,6,19572.46,16861.35,21746.22
Rice,Punjab,2024,2,22214.78,19523.75,24616.73
Sugarcane,Madhya Pradesh,2023,1,3957.44,3574.59,4175.82
Cotton,Maharashtra,2022,8,46906.57,41449.48,49882.39
Cotton,Karnataka,2020,4,66116.23,57882.38,73927.88
Rice,Madhya Pradesh,2024,8,19152.49,17735.64,21250.91
Rice,Maharashtra,2023,5,18528.36,16395.5,21177.04
Wheat,Punjab,2021,3,23807.42,22213.8,27295.27
Maize,Maharashtra,2020,9,16534.03,15605.38,17660.38
Wheat,Karnataka,2022,10,20636.05,17677.86,23197.23
Rice,Madhya Pradesh,2020,2,24638.4,21287.02,27829.73
Sugarcane,Maharashtra,2023,7,3369.52,2932.03,3593.14
Sugarcane,Uttar Pradesh,2022,11,3527.03,3232.59,3887.87
Sugarcane,Madhya Pradesh,2020,12,3706.33,3283.37,4216.77
Cotton,Madhya Pradesh,2022,10,57559.15,51452.9,62606.77
Wheat,Madhya Pradesh,2022,3,25687.12,23022.54,27745.63
Cotton,Punjab,2022,3,61760.65,53930.71,70404.51
Rice,Maharashtra,2022,5,22676.44,20145.5,25042.85
Sugarcane,Karnataka,2023,8,3429.94,2955.54,3923.79
Cotton,Maharashtra,2024,7,54369.88,49627.24,58909.25
Cotton,Punjab,2022,1,59835.87,54570.75,66019.67
Wheat,Uttar Pradesh,2021,7,21279.18,19989.43,24021.21
Rice,Uttar Pradesh,2024,3,22420.64,19614.67,25209.65
Maize,Uttar Pradesh,2022,2,19576.34,16705.53,21670.79
Maize,Maharashtra,2023,8,16872.24,14918.57,19101.5
Sugarcane,Punjab,2024,4,3937.56,3390.49,4467.73
Rice,Uttar Pradesh,2024,1,21570.13,20054.39,22972.01
Sugarcane,Maharashtra,2020,11,3153.72,2752.96,3539.18
Wheat,Punjab,2023,4,25339.93,23297.4,27982.19
Sugarcane,Madhya Pradesh,2021,6,4017.24,3515.81,4356.98
Rice,Madhya Pradesh,2024,2,21691.89,19440.28,24831.32
Sugarcane,Maharashtra,2024,10,3458.7,2992.93,3834.39
Sugarcane,Maharashtra,2024,4,4231.12,3604.11,4811.68
Rice,Punjab,2023,12,20529.22,19363.4,22715.86
Wheat,Maharashtra,2023,5,23629.11,21755.89,25171.0
Maize,Maharashtra,2020,2,19760.34,17935.05,21947.25
Sugarcane,Punjab,2024,6,3848.81,3631.11,4397.48
Cotton,Uttar Pradesh,2021,7,52934.16,47380.52,56180.28
Rice,Punjab,2022,4,22222.42,20203.01,24220.22
Sugarcane,Maharashtra,2020,4,3994.59,3417.28,4328.22
Rice,Uttar Pradesh,2022,1,20827.9,18823.0,23785.16
Maize,Punjab,2024,5,17788.63,15736.44,19295.24
Sugarcane,Karnataka,2022,11,3465.74,3023.72,3795.83
Rice,Punjab,2023,3,24109.02,20832.26,25739.72
Wheat,Maharashtra,2021,1,20133.42,18955.3,21869.71
Sugarcane,Punjab,2024,5,3739.0,3395.23,4162.35
Maize,Maharashtra,2024,7,16858.0,14473.18,19381.43
Cotton,Madhya Pradesh,2020,8,51212.86,46102.82,56822.64
Maize,Madhya Pradesh,2024,11,18480.54,16096.38,21064.22
Sugarcane,Punjab,2021,5,3744.28,3259.45,4002.89
Maize,Punjab,2023,12,18330.52,16616.33,19367.49
Maize,Maharashtra,2024,4,19069.76,17688.21,20887.66
Maize,Maharashtra,2022,11,14714.13,13096.7,16273.3
Cotton,Madhya Pradesh,2024,8,57257.45,49557.7,61162.0
Sugarcane,Punjab,2021,8,3014.51,2756.47,3288.45
Wheat,Uttar Pradesh,2022,2,24005.87,20465.93,25581.02
Cotton,Madhya Pradesh,2020,4,67117.31,57231.57,71962.99
Rice,Punjab,2021,5,22691.56,19812.17,25350.77
Maize,Maharashtra,2023,7,16627.93,15219.12,17855.38
Sugarcane,Madhya Pradesh,2022,12,3865.64,3324.23,4152.92
Wheat,Punjab,2021,11,22100.06,20619.84,24082.84
Rice,Karnataka,2022,1,22704.26,20815.46,24304.87
Rice,Karnataka,2024,9,19673.1,16747.71,20824.98
Maize,Punjab,2021,8,16491.39,14360.51,17359.71
Rice,Karnataka,2023,1,22586.13,20150.05,25731.64
Rice,Karnataka,2020,5,21008.89,19574.91,22777.45
Wheat,Karnataka,2021,6,22545.22,20494.27,24276.84
Sugarcane,Maharashtra,2023,2,3556.63,3245.12,3880.07
Sugarcane,Karnataka,2020,1,3531.16,3105.47,4042.63
Wheat,Madhya Pradesh,2022,8,23568.43,21832.86,25077.08
Cotton,Maharashtra,2024,8,50133.36,47098.05,56649.97
Sugarcane,Maharashtra,2023,4,3996.19,3566.68,4204.98
Sugarcane,Madhya Pradesh,2021,8,3506.51,3202.66,3772.26
Wheat,Maharashtra,2020,4,22024.07,19027.38,24964.13
Maize,Karnataka,2021,4,20748.97,17992.84,22351.43
Rice,Uttar Pradesh,2022,2,22948.91,19548.78,26194.57
Rice,Maharashtra,2023,6,20195.85,17719.95,22324.85
Rice,Madhya Pradesh,2021,9,18461.63,16895.01,20916.55
Cotton,Karnataka,2020,12,59004.08,53696.76,65878.27
Rice,Karnataka,2022,6,22182.69,19244.31,25320.24
Sugarcane,Karnataka,2024,2,3709.14,3345.24,3912.02
Cotton,Uttar Pradesh,2020,7,50821.16,44043.06,57112.99
Wheat,Punjab,2022,3,24889.44,21766.68,27102.85
Cotton,Maharashtra,2021,10,48159.56,42325.96,52280.44
Rice,Karnataka,2020,8,18388.15,16671.44,20182.93
Maize,Karnataka,2021,9,18120.28,16604.83,20723.86
Maize,Karnataka,2020,2,19959.85,17028.11,21481.32
Sugarcane,Karnataka,2020,12,3832.55,3485.73,4043.89
Maize,Punjab,2023,9,18828.08,16633.19,21220.96
Cotton,Uttar Pradesh,2022,9,51215.84,44079.42,54161.46
Cotton,Uttar Pradesh,2023,2,62057.45,57020.88,67858.75
Maize,Karnataka,2023,9,18765.72,16413.25,21241.11
Cotton,Karnataka,2022,1,62954.12,55224.27,69817.57
Wheat,Karnataka,2022,6,24389.81,21611.75,25832.67
Rice,Maharashtra,2024,6,19925.57,17305.62,22001.62
Rice,Punjab,2020,5,22040.67,20658.6,24756.58
Cotton,Karnataka,2022,4,64888.35,59647.17,73643.06
Maize,Maharashtra,2023,9,17172.7,15025.54,18871.81
Rice,Uttar Pradesh,2020,4,23030.95,19992.19,25490.53
Maize,Uttar Pradesh,2022,1,19842.92,18683.08,20902.42
Cotton,Karnataka,2023,5,58242.09,54889.65,66809.84
Rice,Madhya Pradesh,2020,12,22653.15,21394.24,24860.05
Sugarcane,Punjab,2024,12,3574.96,3152.79,4050.04
Sugarcane,Uttar Pradesh,2021,10,3329.97,2842.8,3695.02
Cotton,Maharashtra,2020,1,56555.14,48507.08,63320.77
Cotton,Maharashtra,2020,2,58912.92,52078.28,66128.38
Cotton,Karnataka,2024,2,62835.03,56799.67,70945.29
Cotton,Punjab,2022,11,52085.74,45933.12,57950.03
Rice,Uttar Pradesh,2020,2,22868.38,19970.86,24067.6
Rice,Punjab,2021,5,22309.63,20904.34,23472.56
Maize,Maharashtra,2023,8,16515.21,15588.82,18660.18
Maize,Madhya Pradesh,2021,6,20398.93,19374.77,22134.29
Wheat,Uttar Pradesh,2022,5,23454.98,21062.28,26099.54
Maize,Madhya Pradesh,2020,2,22391.97,20989.51,25715.13
Sugarcane,Madhya Pradesh,2021,4,4029.39,3594.76,4528.06
Rice,Karnataka,2024,9,20533.38,17943.66,21786.89
Wheat,Punjab,2020,9,18717.1,16464.14,20090.2
Rice,Madhya Pradesh,2020,12,20681.35,17666.2,21752.38
Cotton,Punjab,2022,10,51146.21,45439.96,57179.66
Sugarcane,Madhya Pradesh,2021,2,4148.35,3616.64,4749.84
Wheat,Madhya Pradesh,2024,4,26900.43,25406.74,29502.78
Maize,Uttar Pradesh,2021,1,19463.41,17737.81,20761.69
Rice,Maharashtra,2021,5,21166.45,19277.85,23309.95
Cotton,Karnataka,2023,11,56739.24,49537.16,60577.81
Rice,Madhya Pradesh,2023,7,19896.86,18463.46,21588.34
Rice,Uttar Pradesh,2022,2,22045.86,18866.5,25284.62
Maize,Punjab,2020,11,18720.45,17215.36,19944.57
Maize,Madhya Pradesh,2020,3,20870.33,19442.45,22382.26
Sugarcane,Uttar Pradesh,2022,1,3857.51,3507.61,4274.15
Cotton,Madhya Pradesh,2020,5,58201.7,50003.91,66218.76
Wheat,Madhya Pradesh,2020,1,24273.93,22790.18,27807.37
Maize,Karnataka,2020,2,20383.45,19083.25,23052.7
Cotton,Uttar Pradesh,2022,1,61871.0,53128.55,67491.69
Sugarcane,Punjab,2023,6,3921.79,3479.68,4219.75
Rice,Karnataka,2023,5,22226.87,19072.98,23827.61
Wheat,Karnataka,2023,11,24128.01,22157.38,25518.1
Wheat,Maharashtra,2022,11,20881.93,18753.2,23163.09
Maize,Punjab,2024,6,19429.55,18117.44,21076.81
Wheat,Maharashtra,2024,6,22750.08,19945.06,25886.47
Sugarcane,Maharashtra,2021,11,3648.17,3391.86,4070.79
Rice,Maharashtra,2024,10,19088.43,17556.53,21341.13
Sugarcane,Maharashtra,2023,5,3763.77,3432.04,4235.26
Sugarcane,Uttar Pradesh,2024,6,3610.75,3190.14,4059.75
Sugarcane,Maharashtra,2020,4,3828.78,3316.01,4333.4
Cotton,Maharashtra,2021,7,52329.05,44513.11,56447.55
Cotton,Karnataka,2022,11,58900.74,53699.37,67625.04
Cotton,Punjab,2024,7,49555.4,45263.93,54709.09
Wheat,Karnataka,2020,1,25306.88,23484.39,26842.96
Rice,Uttar Pradesh,2024,10,19248.05,18214.41,20868.49
Wheat,Madhya Pradesh,2022,9,23119.2,21113.89,26429.93
Sugarcane,Uttar Pradesh,2020,6,3561.87,3134.79,3992.21
Wheat,Maharashtra,2020,12,22213.5,19031.08,24617.38
Rice,Punjab,2022,12,21595.05,18454.57,24556.89
Rice,Uttar Pradesh,2022,12,19276.81,18261.86,22108.34
Sugarcane,Uttar Pradesh,2022,8,3226.96,2987.6,3396.24
Sugarcane,Uttar Pradesh,2022,4,4021.25,3426.96,4352.44
Cotton,Karnataka,2024,2,67654.12,62128.78,74053.54
Wheat,Maharashtra,2021,6,21927.67,19238.52,25210.52
Cotton,Punjab,2021,9,46507.96,40292.75,52529.86
Sugarcane,Maharashtra,2024,11,2940.21,2703.14,3152.13
Wheat,Uttar Pradesh,2023,7,22004.18,20143.75,23705.67
Wheat,Madhya Pradesh,2023,2,25197.19,23813.52,26837.67
Maize,Uttar Pradesh,2022,9,17433.18,15549.92,19417.99
Rice,Uttar Pradesh,2021,10,18899.49,16816.0,20362.72
Rice,Maharashtra,2021,8,18222.36,17118.27,19552.51
Maize,Uttar Pradesh,2021,8,17317.81,15089.19,18237.62
Rice,Madhya Pradesh,2021,10,18477.85,17303.32,20276.13
Cotton,Punjab,2022,10,55211.95,52275.74,58996.87
Sugarcane,Karnataka,2024,12,3769.98,3495.12,4276.96
Wheat,Madhya Pradesh,2020,1,25450.43,23569.7,28316.71
Rice,Karnataka,2023,8,19560.55,18184.54,21480.46
Maize,Karnataka,2022,10,18065.73,15567.8,19195.17
Sugarcane,Karnataka,2021,2,3912.93,3404.45,4300.93
Cotton,Karnataka,2020,12,63252.59,54170.84,70096.34
Wheat,Karnataka,2021,1,25410.71,22387.76,27837.99
Wheat,Karnataka,2020,6,22602.11,19238.06,23895.96
Sugarcane,Uttar Pradesh,2021,7,3378.85,3074.76,3646.34
Sugarcane,Karnataka,2020,10,2964.53,2725.88,3367.74
Cotton,Karnataka,2022,7,52725.82,46093.15,60564.37
Rice,Punjab,2021,8,18585.6,16062.6,20442.09
Cotton,Madhya Pradesh,2022,6,63534.35,57559.89,66773.15
Cotton,Uttar Pradesh,2021,11,56752.75,50092.6,62528.54
Rice,Uttar Pradesh,2024,10,18751.49,16001.03,19836.41
Maize,Karnataka,2024,2,20118.59,17899.36,21391.52
Sugarcane,Karnataka,2020,7,3839.1,3570.59,4107.89
Cotton,Madhya Pradesh,2021,1,64132.32,55586.58,68009.55
Maize,Uttar Pradesh,2023,7,19043.42,16247.06,21778.46
Cotton,Punjab,2024,10,53784.34,45996.21,59384.88
Rice,Madhya Pradesh,2024,11,21218.22,19550.65,23980.26
Cotton,Uttar Pradesh,2021,2,63235.75,55896.93,71550.15
Maize,Madhya Pradesh,2022,6,20625.65,18464.74,22984.35
Cotton,Karnataka,2022,2,63892.33,57671.79,71761.24
Maize,Punjab,2024,4,19363.75,18147.29,20756.42
Rice,Karnataka,2022,7,19656.11,18625.86,21301.12
Cotton,Madhya Pradesh,2022,2,65981.99,60430.98,72568.28
Sugarcane,Madhya Pradesh,2024,3,4057.6,3674.3,4552.3
Maize,Uttar Pradesh,2021,9,16882.2,14686.74,18874.68
Maize,Uttar Pradesh,2023,11,17892.03,15337.4,18841.48
Cotton,Karnataka,2022,12,57592.21,53953.95,64659.75
Maize,Uttar Pradesh,2020,9,15346.27,14184.11,16766.56
Cotton,Karnataka,2023,8,49880.22,47324.6,52574.3
Maize,Karnataka,2021,10,16109.69,15090.0,17847.4
Wheat,Maharashtra,2024,3,26052.32,23412.36,29630.41
Sugarcane,Punjab,2020,5,3668.2,3448.37,4006.31
Sugarcane,Madhya Pradesh,2021,1,4083.16,3843.22,4373.33
Maize,Madhya Pradesh,2020,11,17049.25,15553.97,18978.48
Sugarcane,Madhya Pradesh,2020,12,3670.53,3382.7,4187.72
Maize,Madhya Pradesh,2021,2,21479.78,18643.77,23064.01
Sugarcane,Maharashtra,2020,1,3670.53,3210.7,4173.67
Maize,Uttar Pradesh,2020,12,19775.46,17689.75,21782.31
Sugarcane,Madhya Pradesh,2020,12,3981.03,3448.97,4335.77
Cotton,Karnataka,2023,3,59345.79,56196.98,63844.99
Rice,Madhya Pradesh,2023,3,22465.32,20833.15,23882.6
Wheat,Maharashtra,2020,10,21371.65,20238.57,23410.06
Sugarcane,Madhya Pradesh,2022,4,4120.8,3641.55,4668.41
Wheat,Punjab,2021,5,22150.71,19782.55,23809.17
Maize,Madhya Pradesh,2021,3,22734.68,19704.24,24252.49
Rice,Punjab,2022,8,19483.53,16632.45,21892.48
Sugarcane,Madhya Pradesh,2024,1,3912.71,3656.1,4423.58
