farmer_id,crop_type,season,state,land_area_hectare,annual_rainfall_mm,fertilizer_used_kg,pesticide_used_liters,total_production_tonnes,yield_tonnes_per_hectare
F0248,Wheat,Zaid,Punjab,7.81,558.99,330.3,8.84,13.98,1.79
F0499,Maize,Kharif,Karnataka,0.99,937.63,293.29,33.68,2.33,2.35
F0317,Sugarcane,Kharif,Maharashtra,8.05,625.0,247.54,8.53,19.76,2.45
F0013,Wheat,Kharif,Uttar Pradesh,0.74,1455.18,426.19,36.32,3.39,4.58
F0238,Maize,Zaid,Karnataka,1.99,600.29,297.15,37.16,4.36,2.19
F0093,Cotton,Zaid,Uttar Pradesh,6.77,635.92,479.69,38.21,26.34,3.89
F0442,Cotton,Zaid,Madhya Pradesh,4.49,597.28,210.19,39.1,12.08,2.69
F0200,Sugarcane,Zaid,Madhya Pradesh,0.64,439.29,70.7,6.83,1.07,1.67
F0006,Cotton,Zaid,Madhya Pradesh,5.0,417.4,271.23,26.31,10.78,2.16
F0009,Wheat,Kharif,Punjab,2.15,820.62,229.33,32.71,5.74,2.67
F0467,Wheat,Zaid,Maharashtra,4.06,1051.03,276.41,43.54,15.13,3.73
F0156,Wheat,Kharif,Maharashtra,6.76,495.52,81.76,33.91,11.16,1.65
F0228,Wheat,Zaid,Punjab,9.43,990.57,224.68,33.95,30.12,3.19
F0287,Maize,Rabi,Karnataka,4.85,954.74,473.66,22.37,19.06,3.93
F0037,Maize,Kharif,Madhya Pradesh,1.18,682.77,430.19,6.05,3.06,2.59
F0421,Maize,Kharif,Karnataka,8.24,638.23,103.17,36.35,20.88,2.53
F0249,Wheat,Rabi,Maharashtra,7.48,1264.18,176.92,12.98,32.07,4.29
F0221,Cotton,Zaid,Maharashtra,7.63,1268.2,495.73,23.57,41.29,5.41
F0390,Maize,Rabi,Punjab,3.74,1416.91,436.29,24.3,17.96,4.8
F0144,Sugarcane,Kharif,Karnataka,7.63,1205.45,96.41,45.61,33.7,4.42
F0072,Maize,Rabi,Karnataka,3.54,1374.63,225.14,5.49,16.21,4.58
F0051,Maize,Zaid,Karnataka,9.1,409.54,193.69,47.75,14.71,1.62
F0372,Wheat,Kharif,Punjab,6.5,838.13,181.94,19.79,20.51,3.16
F0286,Rice,Zaid,Karnataka,6.89,1202.85,406.21,40.53,30.14,4.37
F0388,Maize,Zaid,Karnataka,1.05,959.43,248.69,44.95,3.03,2.88
F0493,Maize,Zaid,Madhya Pradesh,3.83,440.48,114.35,39.27,4.21,1.1
F0015,Sugarcane,Rabi,Punjab,1.3,1141.16,82.74,41.98,4.77,3.67
F0108,Wheat,Zaid,Madhya Pradesh,7.21,397.62,88.18,49.4,7.21,1.0
F0359,Wheat,Rabi,Uttar Pradesh,8.22,1436.7,493.7,38.9,37.44,4.55
F0308,Wheat,Kharif,Maharashtra,4.07,400.2,399.72,30.13,9.76,2.4
F0208,Sugarcane,Kharif,Uttar Pradesh,1.56,891.15,55.11,26.09,4.18,2.68
F0220,Sugarcane,Kharif,Madhya Pradesh,1.03,442.58,102.89,34.21,1.81,1.76
F0124,Maize,Kharif,Karnataka,9.64,749.84,178.57,44.09,32.09,3.33
F0466,Wheat,Rabi,Punjab,2.62,1455.87,55.47,48.64,11.9,4.54
F0372,Cotton,Rabi,Maharashtra,1.2,964.63,486.19,28.54,4.61,3.84
F0482,Maize,Kharif,Madhya Pradesh,6.48,1134.9,254.54,33.24,27.97,4.32
F0390,Sugarcane,Zaid,Maharashtra,0.93,637.16,477.69,45.06,2.71,2.91
F0041,Maize,Kharif,Uttar Pradesh,4.83,1044.16,174.82,13.47,11.62,2.41
F0469,Cotton,Rabi,Uttar Pradesh,6.04,393.28,488.48,49.38,11.14,1.84
F0151,Cotton,Kharif,Madhya Pradesh,7.13,943.32,189.29,41.62,19.38,2.72
F0202,Cotton,Rabi,Maharashtra,9.15,1287.04,477.41,37.66,45.97,5.02
F0110,Wheat,Kharif,Uttar Pradesh,6.33,801.89,469.73,43.97,24.63,3.89
F0457,Wheat,Kharif,Uttar Pradesh,9.88,480.5,317.36,22.14,17.98,1.82
F0309,Cotton,Rabi,Punjab,9.71,1310.54,427.25,26.09,38.48,3.96
F0219,Maize,Rabi,Karnataka,1.04,1337.67,415.81,49.99,4.67,4.49
F0430,Cotton,Rabi,Madhya Pradesh,9.97,966.52,396.04,47.51,34.09,3.42
F0143,Sugarcane,Kharif,Karnataka,4.78,454.99,479.32,32.28,12.44,2.6
F0129,Cotton,Rabi,Maharashtra,2.67,1106.04,328.16,21.12,11.0,4.12
F0470,Maize,Kharif,Madhya Pradesh,5.44,1226.78,284.07,43.35,20.84,3.83
F0365,Rice,Zaid,Maharashtra,5.74,973.13,444.49,23.16,23.58,4.11
F0014,Wheat,Kharif,Maharashtra,7.19,555.56,111.37,5.65,18.46,2.57
F0076,Cotton,Rabi,Uttar Pradesh,3.83,1007.9,226.51,24.69,12.71,3.32
F0284,Rice,Kharif,Madhya Pradesh,5.38,1240.38,228.44,32.99,24.23,4.5
F0032,Rice,Zaid,Karnataka,8.69,1439.42,116.18,46.7,31.74,3.65
F0329,Sugarcane,Zaid,Maharashtra,4.86,1476.04,271.68,19.79,23.93,4.92
F0335,Wheat,Rabi,Madhya Pradesh,6.52,588.17,84.14,10.8,13.73,2.11
F0356,Wheat,Rabi,Punjab,2.23,714.8,453.55,26.33,5.7,2.56
F0483,Maize,Kharif,Uttar Pradesh,6.84,506.78,136.53,6.84,10.41,1.52
F0390,Maize,Zaid,Maharashtra,2.18,406.44,104.29,25.74,2.19,1.01
F0467,Wheat,Rabi,Uttar Pradesh,2.46,737.12,276.54,36.07,5.85,2.38
F0148,Wheat,Kharif,Karnataka,8.8,1405.05,77.49,17.46,39.25,4.46
F0468,Sugarcane,Zaid,Karnataka,8.16,1197.91,133.03,14.42,30.26,3.71
F0446,Rice,Kharif,Uttar Pradesh,6.37,742.7,258.14,38.64,9.9,1.55
F0443,Cotton,Rabi,Uttar Pradesh,0.85,602.92,371.01,45.28,3.44,4.04
F0359,Rice,Kharif,Madhya Pradesh,1.52,836.89,289.68,15.91,5.52,3.63
F0286,Rice,Rabi,Madhya Pradesh,3.06,752.74,59.03,19.49,6.22,2.03
F0005,Maize,Kharif,Maharashtra,1.64,1368.63,317.12,35.56,6.83,4.16
F0474,Rice,Rabi,Maharashtra,8.0,898.13,89.11,29.17,28.84,3.61
F0410,Cotton,Rabi,Punjab,4.6,453.1,177.7,21.34,9.03,1.96
F0169,Maize,Kharif,Karnataka,6.64,984.93,210.24,49.39,17.44,2.63
F0461,Maize,Rabi,Madhya Pradesh,1.47,483.43,160.68,12.23,3.0,2.04
F0249,Cotton,Rabi,Uttar Pradesh,2.27,642.11,128.02,45.35,4.91,2.16
F0442,Maize,Kharif,Uttar Pradesh,4.4,1478.85,100.42,22.9,18.48,4.2
F0015,Wheat,Kharif,Punjab,9.71,1338.61,417.68,16.61,49.38,5.09
F0200,Sugarcane,Kharif,Punjab,9.33,968.12,307.23,17.6,28.11,3.01
F0446,Cotton,Zaid,Uttar Pradesh,7.81,524.45,195.66,24.14,8.8,1.13
F0226,Cotton,Zaid,Uttar Pradesh,1.59,1032.74,179.88,31.16,5.49,3.45
F0268,Cotton,Rabi,Uttar Pradesh,1.97,877.37,289.67,7.33,5.46,2.77
F0223,Sugarcane,Rabi,Madhya Pradesh,1.1,1487.95,195.06,41.44,5.08,4.62
F0097,Sugarcane,Zaid,Madhya Pradesh,2.92,1117.8,392.1,31.8,8.38,2.87
F0250,Maize,Kharif,Punjab,3.81,1415.43,423.78,48.43,17.7,4.65
F0398,Maize,Zaid,Karnataka,1.68,1177.04,472.25,13.16,7.57,4.51
F0027,Sugarcane,Rabi,Uttar Pradesh,5.96,1310.19,112.9,40.79,24.06,4.04
F0147,Wheat,Rabi,Uttar Pradesh,2.42,496.39,123.92,41.66,4.45,1.84
F0210,Cotton,Kharif,Maharashtra,3.91,1352.64,226.6,41.75,21.53,5.51
F0075,Maize,Rabi,Maharashtra,4.67,752.33,258.21,18.56,12.91,2.76
F0198,Rice,Zaid,Madhya Pradesh,2.71,1379.49,222.75,29.46,14.61,5.39
F0114,Rice,Kharif,Uttar Pradesh,9.11,1049.09,102.6,47.29,23.38,2.57
F0107,Cotton,Rabi,Punjab,1.82,1252.83,329.03,29.01,9.03,4.96
F0488,Sugarcane,Zaid,Maharashtra,8.99,1246.32,118.25,19.03,39.3,4.37
F0441,Cotton,Kharif,Karnataka,0.82,983.87,393.11,44.45,2.68,3.27
F0215,Cotton,Rabi,Karnataka,3.75,1285.51,99.78,43.09,14.54,3.88
F0404,Rice,Rabi,Karnataka,8.07,479.9,153.16,37.5,9.84,1.22
F0059,Wheat,Kharif,Punjab,7.34,1069.38,362.28,29.42,25.81,3.52
F0058,Rice,Rabi,Madhya Pradesh,2.23,1390.14,312.53,23.04,9.25,4.15
F0081,Sugarcane,Zaid,Maharashtra,4.89,1436.74,119.01,31.38,28.07,5.74
F0289,Sugarcane,Zaid,Uttar Pradesh,0.67,1346.55,469.45,30.43,3.36,5.01
F0014,Sugarcane,Zaid,Maharashtra,7.12,1407.0,368.26,11.86,41.91,5.89
F0096,Rice,Zaid,Madhya Pradesh,4.53,1183.73,470.47,46.65,23.19,5.12
F0334,Rice,Kharif,Karnataka,4.78,435.89,493.18,42.75,10.89,2.28
F0056,Sugarcane,Rabi,Madhya Pradesh,6.12,778.8,74.64,20.08,18.44,3.01
F0065,Rice,Rabi,Karnataka,8.13,305.56,200.07,22.92,13.87,1.71
F0407,Maize,Zaid,Maharashtra,3.79,716.34,381.88,25.35,11.08,2.92
F0173,Sugarcane,Kharif,Uttar Pradesh,2.63,842.93,113.39,12.94,3.67,1.39
F0152,Wheat,Zaid,Punjab,9.19,734.87,311.26,33.45,25.42,2.77
F0328,Cotton,Rabi,Maharashtra,0.62,1096.24,130.12,48.25,2.09,3.37
F0404,Wheat,Zaid,Madhya Pradesh,1.31,1496.25,275.99,31.79,5.84,4.46
F0161,Sugarcane,Kharif,Madhya Pradesh,1.14,1199.95,144.46,45.41,4.05,3.56
F0491,Wheat,Rabi,Punjab,0.85,866.48,304.18,7.96,2.49,2.93
F0168,Sugarcane,Zaid,Maharashtra,7.87,843.95,285.98,24.83,29.13,3.7
F0231,Maize,Rabi,Madhya Pradesh,1.97,518.31,437.8,47.58,2.65,1.35
F0070,Wheat,Rabi,Uttar Pradesh,4.05,624.89,339.8,23.39,12.14,3.0
F0391,Sugarcane,Kharif,Maharashtra,0.76,566.37,153.98,35.24,1.98,2.61
F0013,Rice,Kharif,Punjab,0.69,424.93,409.96,13.03,1.01,1.47
F0470,Maize,Kharif,Karnataka,1.44,591.81,375.02,43.51,4.09,2.84
F0190,Wheat,Rabi,Uttar Pradesh,8.39,776.62,350.64,14.22,27.8,3.31
F0170,Cotton,Rabi,Maharashtra,0.62,402.61,143.55,6.19,0.83,1.33
F0093,Cotton,Rabi,Punjab,2.22,999.65,239.64,45.17,7.04,3.17
F0043,Rice,Rabi,Punjab,2.96,755.63,315.63,17.06,10.08,3.41
F0436,Cotton,Rabi,Madhya Pradesh,6.43,791.29,298.42,24.63,19.62,3.05
F0063,Sugarcane,Rabi,Uttar Pradesh,7.75,468.14,440.81,26.93,17.13,2.21
F0158,Wheat,Zaid,Karnataka,9.0,1259.83,241.35,6.01,39.69,4.41
F0195,Wheat,Rabi,Uttar Pradesh,6.52,609.47,112.71,42.57,7.54,1.16
F0273,Wheat,Kharif,Uttar Pradesh,9.85,930.83,127.26,17.25,30.81,3.13
F0197,Rice,Rabi,Maharashtra,3.1,965.01,343.14,42.34,9.45,3.05
F0428,Wheat,Zaid,Punjab,2.46,313.19,111.6,45.5,3.06,1.25
F0415,Rice,Kharif,Karnataka,6.2,1098.04,128.92,46.15,24.78,4.0
F0124,Sugarcane,Zaid,Madhya Pradesh,4.48,759.77,283.51,7.11,13.88,3.1
F0290,Rice,Rabi,Madhya Pradesh,1.29,1023.78,160.41,22.52,3.88,3.01
F0496,Sugarcane,Kharif,Karnataka,3.24,726.81,373.57,18.37,7.89,2.43
F0036,Sugarcane,Kharif,Karnataka,6.8,1424.2,379.66,14.67,43.07,6.33
F0014,Maize,Kharif,Maharashtra,0.8,614.72,317.79,7.31,3.0,3.75
F0208,Maize,Zaid,Maharashtra,3.68,1225.09,97.97,8.38,14.04,3.81
F0486,Cotton,Rabi,Karnataka,7.42,894.59,359.78,24.57,27.7,3.73
F0064,Maize,Zaid,Punjab,8.09,1133.64,172.47,31.56,27.77,3.43
F0288,Sugarcane,Kharif,Madhya Pradesh,3.93,409.9,462.79,11.16,8.28,2.11
F0206,Maize,Zaid,Punjab,2.26,950.28,442.83,37.95,9.06,4.01
F0268,Wheat,Rabi,Karnataka,8.16,1090.54,361.52,43.21,31.96,3.92
F0458,Cotton,Rabi,Punjab,2.6,1485.2,474.83,6.77,11.88,4.57
F0033,Rice,Kharif,Maharashtra,7.2,1410.3,131.26,30.56,28.24,3.92
F0097,Wheat,Kharif,Uttar Pradesh,9.28,1465.27,474.92,26.34,54.25,5.85
F0337,Sugarcane,Rabi,Maharashtra,8.69,1313.46,193.6,42.3,37.66,4.33
F0401,Sugarcane,Zaid,Maharashtra,2.69,444.68,84.63,36.33,3.32,1.24
F0447,Rice,Rabi,Uttar Pradesh,3.73,1169.72,79.41,19.19,16.31,4.37
F0261,Cotton,Zaid,Maharashtra,3.53,1051.07,448.69,32.71,14.53,4.12
F0058,Sugarcane,Kharif,Uttar Pradesh,2.71,329.28,441.54,5.96,5.17,1.91
F0231,Cotton,Kharif,Maharashtra,9.42,1258.54,499.07,20.78,49.79,5.29
F0449,Rice,Rabi,Karnataka,7.79,782.32,265.94,33.24,20.43,2.62
F0290,Rice,Kharif,Punjab,4.5,1185.1,157.45,9.97,20.64,4.59
F0213,Cotton,Zaid,Uttar Pradesh,3.87,644.69,183.34,15.51,8.78,2.27
F0160,Wheat,Kharif,Madhya Pradesh,4.15,1115.58,148.21,47.75,15.41,3.71
F0477,Maize,Kharif,Maharashtra,7.97,407.29,237.91,44.56,12.98,1.63
F0217,Cotton,Rabi,Maharashtra,6.33,500.44,496.03,15.43,17.82,2.82
F0111,Wheat,Zaid,Punjab,9.46,1079.58,323.48,28.07,33.48,3.54
F0120,Wheat,Rabi,Punjab,2.59,523.73,400.81,20.76,5.4,2.09
F0335,Rice,Kharif,Punjab,1.05,1462.92,447.7,46.75,6.25,5.95
F0421,Rice,Kharif,Uttar Pradesh,7.11,484.68,417.12,15.1,14.13,1.99
F0314,Wheat,Rabi,Uttar Pradesh,2.63,944.37,316.82,31.1,8.23,3.13
F0336,Maize,Kharif,Punjab,8.94,1446.78,437.96,41.43,44.53,4.98
F0139,Wheat,Rabi,Uttar Pradesh,6.72,961.03,89.14,23.38,15.78,2.35
F0320,Rice,Zaid,Punjab,7.37,895.05,86.47,14.91,18.26,2.48
F0371,Sugarcane,Kharif,Uttar Pradesh,6.99,391.36,433.04,27.28,22.9,3.28
F0239,Rice,Rabi,Punjab,8.33,717.37,355.11,30.46,21.38,2.57
F0238,Wheat,Kharif,Madhya Pradesh,3.04,1354.36,408.84,34.63,15.98,5.26
F0245,Rice,Rabi,Madhya Pradesh,7.13,1116.17,328.38,38.87,30.09,4.22
F0124,Wheat,Kharif,Karnataka,2.01,1357.04,442.33,6.32,9.78,4.87
F0024,Sugarcane,Kharif,Madhya Pradesh,3.68,1192.21,122.34,41.81,14.18,3.85
F0303,Cotton,Kharif,Punjab,8.41,908.96,52.87,17.92,24.48,2.91
F0266,Rice,Rabi,Punjab,6.5,611.76,335.3,29.3,16.25,2.5
F0275,Wheat,Kharif,Maharashtra,7.91,428.38,392.46,29.36,15.77,1.99
F0468,Rice,Kharif,Uttar Pradesh,6.51,1418.43,96.13,47.18,29.55,4.54
F0391,Sugarcane,Rabi,Uttar Pradesh,7.03,381.4,185.43,36.87,10.86,1.54
F0349,Maize,Kharif,Maharashtra,3.79,1045.1,70.58,44.22,10.92,2.88
F0428,Sugarcane,Kharif,Punjab,9.75,1462.65,387.34,10.85,57.86,5.93
F0478,Rice,Kharif,Madhya Pradesh,6.99,835.08,173.13,49.87,19.35,2.77
F0195,Sugarcane,Rabi,Uttar Pradesh,4.55,841.66,123.63,40.77,10.1,2.22
F0484,Rice,Zaid,Karnataka,1.28,1116.6,344.53,17.3,5.6,4.38
F0199,Sugarcane,Zaid,Madhya Pradesh,9.53,481.27,244.55,47.46,26.77,2.81
F0307,Sugarcane,Rabi,Madhya Pradesh,4.28,629.06,492.79,23.42,9.91,2.31
F0465,Wheat,Zaid,Uttar Pradesh,8.99,575.95,145.9,6.4,12.47,1.39
F0243,Cotton,Kharif,Maharashtra,8.71,867.85,485.69,13.35,37.31,4.28
F0288,Wheat,Rabi,Punjab,8.75,1231.92,396.91,43.02,41.72,4.77
F0017,Cotton,Zaid,Karnataka,1.75,339.03,464.38,32.75,4.51,2.58
F0177,Wheat,Zaid,Karnataka,8.07,877.83,102.79,10.63,20.1,2.49
F0381,Wheat,Rabi,Madhya Pradesh,2.4,889.91,78.89,31.19,8.87,3.7
F0144,Rice,Rabi,Punjab,3.06,1257.07,189.66,25.48,11.93,3.9
F0042,Cotton,Kharif,Maharashtra,6.2,650.0,362.74,43.71,8.8,1.42
F0471,Wheat,Kharif,Madhya Pradesh,7.91,347.54,266.23,9.72,12.37,1.56
F0067,Maize,Zaid,Karnataka,6.37,1142.96,301.84,5.44,21.96,3.45
F0049,Wheat,Zaid,Maharashtra,3.6,921.25,89.54,20.78,8.72,2.42
F0032,Wheat,Zaid,Punjab,5.89,1127.36,410.26,14.01,23.84,4.05
F0115,Wheat,Zaid,Punjab,2.09,425.48,336.39,36.79,4.06,1.94
F0331,Wheat,Kharif,Karnataka,7.24,1345.16,371.34,41.08,31.95,4.41
F0323,Rice,Rabi,Maharashtra,3.72,1277.79,86.05,45.27,17.18,4.62
F0389,Rice,Zaid,Madhya Pradesh,4.8,1072.29,286.88,37.92,18.49,3.85
F0326,Cotton,Kharif,Uttar Pradesh,1.28,372.42,161.2,12.18,1.62,1.27
F0216,Rice,Kharif,Punjab,9.77,704.27,131.95,40.54,24.9,2.55
F0445,Sugarcane,Zaid,Karnataka,6.76,897.83,299.91,37.36,22.14,3.27
F0434,Sugarcane,Rabi,Maharashtra,2.4,1116.27,82.49,6.38,8.56,3.57
F0241,Cotton,Zaid,Karnataka,2.95,855.15,440.72,37.72,9.34,3.17
F0020,Wheat,Rabi,Uttar Pradesh,3.79,745.25,494.44,6.8,15.18,4.0
F0001,Rice,Rabi,Uttar Pradesh,8.74,994.41,247.38,37.64,34.78,3.98
F0484,Cotton,Rabi,Uttar Pradesh,9.06,806.07,174.57,31.66,24.61,2.72
F0165,Wheat,Kharif,Uttar Pradesh,9.17,552.79,330.33,33.42,18.09,1.97
F0082,Maize,Kharif,Punjab,7.3,1390.84,130.86,15.69,33.7,4.62
F0200,Rice,Zaid,Madhya Pradesh,9.73,517.17,434.47,27.15,25.93,2.67
F0296,Maize,Kharif,Madhya Pradesh,4.73,917.78,211.66,31.68,14.0,2.96
F0140,Cotton,Kharif,Punjab,2.05,769.3,486.24,16.62,5.36,2.62
F0385,Sugarcane,Rabi,Karnataka,7.85,457.05,486.42,25.42,22.76,2.9
F0295,Wheat,Kharif,Uttar Pradesh,2.74,388.2,126.39,28.39,5.17,1.89
F0493,Maize,Rabi,Punjab,4.59,598.46,327.72,36.8,9.95,2.17
F0186,Wheat,Zaid,Uttar Pradesh,2.09,501.14,66.5,38.14,3.0,1.44
F0476,Sugarcane,Rabi,Madhya Pradesh,8.52,1266.8,313.41,44.07,46.19,5.42
F0300,Cotton,Kharif,Maharashtra,2.46,434.3,171.39,7.57,4.92,2.0
F0495,Rice,Rabi,Punjab,0.87,446.53,253.49,47.02,1.59,1.83
F0025,Rice,Kharif,Madhya Pradesh,3.5,908.68,68.71,11.68,11.58,3.31
F0259,Cotton,Kharif,Punjab,4.82,918.72,269.98,35.01,16.55,3.43
F0255,Maize,Kharif,Uttar Pradesh,1.83,335.97,188.57,36.71,3.03,1.65
F0196,Rice,Kharif,Punjab,9.71,412.68,352.67,24.97,13.51,1.39
F0143,Rice,Zaid,Maharashtra,8.75,512.58,361.68,42.72,20.07,2.29
F0371,Wheat,Zaid,Maharashtra,5.22,1041.42,441.01,30.68,21.71,4.16
F0182,Wheat,Rabi,Uttar Pradesh,0.79,1417.14,360.29,35.44,4.15,5.26
F0429,Sugarcane,Kharif,Karnataka,4.24,1081.48,97.97,34.6,12.02,2.83
F0465,Rice,Zaid,Maharashtra,9.99,357.85,489.73,23.31,21.88,2.19
F0183,Sugarcane,Zaid,Maharashtra,5.89,1186.14,445.33,23.19,27.31,4.64
F0417,Cotton,Zaid,Karnataka,3.61,1101.11,413.53,39.3,14.23,3.94
F0111,Cotton,Kharif,Maharashtra,8.27,444.25,295.02,5.26,21.55,2.61
F0100,Maize,Rabi,Karnataka,3.58,739.75,228.28,36.3,7.67,2.14
F0470,Sugarcane,Rabi,Uttar Pradesh,2.76,747.9,152.27,8.29,4.04,1.46
F0144,Rice,Kharif,Uttar Pradesh,6.23,1101.86,328.77,25.86,27.59,4.43
F0320,Maize,Rabi,Uttar Pradesh,5.43,875.02,61.54,20.36,13.93,2.57
F0341,Maize,Rabi,Madhya Pradesh,4.11,778.59,311.08,29.01,14.88,3.62
F0410,Rice,Rabi,Maharashtra,8.22,1161.75,479.99,5.82,38.81,4.72
F0001,Rice,Kharif,Madhya Pradesh,2.36,309.08,341.36,45.41,3.82,1.62
F0106,Sugarcane,Rabi,Uttar Pradesh,1.07,1421.32,208.23,9.56,4.96,4.64
F0072,Rice,Kharif,Karnataka,5.12,608.13,178.19,18.83,11.53,2.25
F0140,Maize,Zaid,Uttar Pradesh,3.46,1032.4,372.27,17.27,15.64,4.52
F0491,Cotton,Kharif,Punjab,4.43,446.26,131.52,35.65,7.17,1.62
F0395,Wheat,Zaid,Karnataka,7.24,428.25,305.29,16.55,8.77,1.21
F0438,Wheat,Kharif,Uttar Pradesh,9.65,880.25,412.7,29.76,33.77,3.5
F0006,Cotton,Kharif,Uttar Pradesh,9.54,1021.93,418.63,44.79,34.76,3.64
F0057,Wheat,Zaid,Karnataka,2.67,554.45,324.94,23.5,4.45,1.67
F0218,Cotton,Kharif,Madhya Pradesh,7.91,629.77,420.18,24.07,18.66,2.36
F0235,Rice,Rabi,Karnataka,6.84,414.64,330.74,25.33,8.8,1.29
F0281,Sugarcane,Rabi,Madhya Pradesh,7.5,1335.36,147.53,9.31,33.35,4.45
