loan_id,loan_amount,borrower_income,land_area,crop_yield,past_delay_count,total_loans_taken,season,income_to_loan_ratio,past_delay_rate,due_date,repayment_date,delay_flag
70,48295,63807,8.7,4.52,0,7,Kharif,1.3211926700486594,0,22-11-2024,22-11-2024,0
71,186981,270411,1.29,4.11,2,2,Zaid,1.4461950679480804,1,11-12-2024,09-12-2024,0
72,35485,356626,2.91,2.62,1,4,Rabi,10.050049316612654,0.25,12-11-2024,12-11-2024,0
73,59298,392363,9.64,2.5,0,1,Rabi,6.616799892070559,0,07-11-2024,07-11-2024,0
74,262804,426965,8.12,4.91,4,5,Zaid,1.6246518317833822,0.8,29-10-2024,25-10-2024,0
75,212714,257611,1.2,3.22,3,1,Zaid,1.2110674426694998,3,16-02-2024,01-04-2024,1
76,72528,350557,3.3,4.98,2,7,Zaid,4.833402272225899,0.2857142857142857,12-01-2024,11-01-2024,0
77,31023,71447,4.25,1.43,4,2,Kharif,2.3030332334074717,2,13-12-2024,10-12-2024,0
78,125787,212993,3.03,2.44,3,3,Rabi,1.6932830896674538,1,24-05-2024,24-05-2024,0
79,186619,409151,2.04,4.64,4,6,Zaid,2.1924402124113835,0.6666666666666666,22-03-2024,20-03-2024,0
80,69407,100990,9.23,1.33,1,3,Kharif,1.4550405578688028,0.3333333333333333,30-12-2024,26-12-2024,0
81,21015,111813,8.2,4.95,0,3,Zaid,5.320628122769451,0,06-12-2024,05-12-2024,0
82,155230,243752,9.71,4.37,4,1,Zaid,1.570263479997423,4,07-04-2024,22-05-2024,1
83,125570,320846,3.1,1.23,3,1,Zaid,2.5551166679939477,3,15-07-2024,11-07-2024,0
84,255365,392786,5.78,4.08,4,2,Rabi,1.5381356098134042,2,23-03-2024,23-03-2024,0
85,58765,478032,9.56,3.42,0,1,Kharif,8.134637964774951,0,14-10-2024,13-10-2024,0
86,56187,188311,0.71,2.99,2,3,Kharif,3.351504796483172,0.6666666666666666,01-11-2024,29-10-2024,0
87,135765,386107,5.83,4.51,0,1,Zaid,2.843936213309763,0,21-04-2024,17-04-2024,0
88,101317,377359,0.64,2.4,1,2,Rabi,3.724537836690782,0.5,12-10-2024,10-10-2024,0
89,276434,387889,3.81,3.06,3,6,Zaid,1.4031884645159423,0.5,03-09-2024,02-09-2024,0
90,273490,93088,9.52,1.59,0,2,Rabi,0.3403707630991992,0,29-09-2024,26-09-2024,0
91,145911,414612,9.81,2.97,4,6,Kharif,2.841540391060304,0.6666666666666666,22-08-2024,20-08-2024,0
92,163087,95002,1.22,1.52,2,6,Rabi,0.5825234384101737,0.3333333333333333,08-01-2024,05-01-2024,0
93,192312,307218,8.81,3.06,1,5,Kharif,1.5974978160489206,0.2,01-05-2024,29-04-2024,0
94,77108,161195,3.8,1.13,0,5,Zaid,2.0905094153654615,0,20-08-2024,17-08-2024,0
95,169849,274301,3.96,3.01,4,3,Kharif,1.6149697672638639,1.3333333333333333,13-03-2024,12-03-2024,0
96,194293,453694,5.36,1.63,4,1,Zaid,2.3351021395521196,4,26-01-2024,06-03-2024,1
97,230176,240471,7.61,1.74,1,4,Zaid,1.044726643959405,0.25,18-03-2024,17-03-2024,0
98,167820,417257,0.85,2.01,2,7,Kharif,2.486336551066619,0.2857142857142857,25-08-2024,23-08-2024,0
99,58638,379211,1.52,2.79,2,3,Zaid,6.466983867116887,0.6666666666666666,15-01-2024,15-01-2024,0
100,161339,271897,5.86,4.36,1,6,Zaid,1.6852527907077643,0.16666666666666666,26-10-2024,26-10-2024,0
101,124592,184668,6.14,3.72,2,1,Kharif,1.4821818415307564,2,18-04-2024,17-04-2024,0
102,46734,449587,5.6,3.35,0,4,Zaid,9.620126674369837,0,23-03-2024,22-03-2024,0
103,211076,244053,9.05,3.43,2,3,Kharif,1.1562328260910761,0.6666666666666666,30-12-2024,26-12-2024,0
104,209728,428292,1.47,1.61,3,6,Kharif,2.042130759841318,0.5,26-11-2024,26-11-2024,0
105,164118,468034,0.67,3.79,1,4,Zaid,2.8518139387513863,0.25,07-08-2024,05-08-2024,0
106,142883,268958,8.26,2.03,2,6,Zaid,1.8823652918821694,0.3333333333333333,12-07-2024,10-07-2024,0
107,264761,358658,8.47,1.82,1,6,Kharif,1.3546481543731894,0.16666666666666666,19-11-2024,17-11-2024,0
108,209139,230448,7.49,3.12,0,2,Zaid,1.1018891741855894,0,21-05-2024,17-05-2024,0
109,21917,332762,9.35,2.28,2,1,Rabi,15.182826116713054,2,26-06-2024,25-06-2024,0
110,102180,137958,5.71,1.81,1,4,Kharif,1.3501467997651204,0.25,16-11-2024,12-11-2024,0
111,128872,462432,1.61,2.89,2,6,Kharif,3.5883046744056117,0.3333333333333333,04-04-2024,04-04-2024,0
112,103524,277645,7.59,2.63,4,3,Zaid,2.681938487693675,1.3333333333333333,16-05-2024,15-05-2024,0
113,268320,186487,7.36,1.19,4,3,Rabi,0.6950171437090041,1.3333333333333333,26-12-2024,05-02-2025,1
114,275266,398884,2.27,1.94,1,6,Zaid,1.4490856117355575,0.16666666666666666,11-05-2024,11-05-2024,0
115,34060,264057,4.23,4.27,2,5,Zaid,7.752701115678215,0.4,18-12-2024,18-12-2024,0
116,170168,117728,9.05,2.54,4,3,Zaid,0.6918339523294627,1.3333333333333333,08-02-2024,03-04-2024,1
117,61157,104917,3.66,3.92,1,4,Kharif,1.7155354252170643,0.25,15-01-2024,11-01-2024,0
118,287552,109379,7.54,3.29,4,6,Rabi,0.3803798965056755,0.6666666666666666,06-04-2024,17-05-2024,1
119,52154,263942,1.86,1.82,1,2,Zaid,5.060819879587376,0.5,05-01-2024,03-01-2024,0
120,194944,96197,8.3,1.44,3,5,Kharif,0.4934596602101116,0.6,03-08-2024,31-07-2024,0
121,252604,332247,1.92,1.92,3,5,Rabi,1.3152879606023657,0.6,09-05-2024,07-05-2024,0
122,167550,282050,7.09,3.17,2,3,Kharif,1.6833780960907192,0.6666666666666666,09-03-2024,06-03-2024,0
123,34153,126325,2.66,2.69,1,6,Rabi,3.698796591807455,0.16666666666666666,28-12-2024,25-12-2024,0
124,226988,385463,5.31,3.45,3,3,Zaid,1.6981646606869085,1,21-12-2024,18-12-2024,0
125,215716,110279,0.72,3.61,0,4,Kharif,0.5112230896178308,0,13-10-2024,12-10-2024,0
126,270869,267138,7.5,4.74,2,7,Zaid,0.9862258139543469,0.2857142857142857,13-09-2024,09-09-2024,0
127,152717,228595,1.68,4.68,2,7,Zaid,1.496853657418624,0.2857142857142857,28-05-2024,28-05-2024,0
128,77545,351368,0.54,2.33,3,1,Rabi,4.531149655,3,30-03-2024,28-03-2024,0
129,159649,58070,3.8,3.95,0,3,Zaid,0.3637354446316607,0,29-12-2024,27-12-2024,0
130,266965,379670,2.07,1.14,0,1,Zaid,1.4221714456951287,0,11-10-2024,09-10-2024,0
131,286901,69097,0.62,3.65,0,4,Kharif,0.24083917448876094,0,26-12-2024,26-12-2024,0
132,253619,364997,8.68,3.14,0,7,Rabi,1.4391547951849033,0,13-09-2024,09-09-2024,0
133,153554,336586,8.1,2.4,4,1,Rabi,2.191971554,4,12-10-2024,01-11-2024,1
134,113607,270178,1.12,4.1,1,2,Kharif,2.378180921950232,0.5,22-04-2024,21-04-2024,0
135,293629,350709,7.77,1.41,4,7,Zaid,1.194394967799502,0.5714285714285714,24-12-2024,22-12-2024,0
136,98623,415321,3.07,3.58,3,1,Kharif,4.211198199203026,3,27-03-2024,24-03-2024,0
137,148177,266454,6.76,1.11,2,7,Rabi,1.7982142977655102,0.2857142857142857,11-09-2024,07-09-2024,0
138,182552,384402,8.93,3.23,1,3,Kharif,2.1057123449756783,0.3333333333333333,05-04-2024,03-04-2024,0
139,32175,431379,9.47,1.56,1,7,Kharif,13.407272727272728,0.14285714285714285,25-11-2024,25-11-2024,0
140,22198,234466,1.67,4.51,4,4,Zaid,10.562483106586178,1,22-03-2024,21-03-2024,0
141,280910,73236,3.75,2.04,1,3,Zaid,0.26070983589049873,0.3333333333333333,28-04-2024,25-04-2024,0
142,34596,476788,4.39,3.21,1,5,Rabi,13.781593247774309,0.2,20-12-2024,17-12-2024,0
143,277529,290469,7.91,1.46,2,6,Kharif,1.0466257580288907,0.3333333333333333,02-08-2024,02-08-2024,0
144,179601,85954,5.37,3.97,1,5,Zaid,0.4785830813859611,0.2,07-10-2024,07-10-2024,0
145,168757,442426,4.51,1.53,4,5,Rabi,2.6216749527427012,0.8,07-04-2024,03-04-2024,0
146,208456,81653,1.14,2.62,1,4,Kharif,0.39170376482327207,0.25,27-03-2024,23-03-2024,0
147,60809,66725,1.8,4.6,2,2,Kharif,1.0972882303606375,1,24-09-2024,20-09-2024,0
148,67924,386326,5.95,4.35,4,4,Kharif,5.6876214592780165,1,08-07-2024,07-07-2024,0
149,187469,440719,3.86,4.83,0,3,Rabi,2.3508900138156177,0,29-06-2024,26-06-2024,0
150,73276,107492,8.45,2.75,3,1,Kharif,1.4669468857470387,3,05-07-2024,17-08-2024,1
151,248071,428165,5.02,3.65,4,1,Rabi,1.7259776434972245,4,06-09-2024,16-10-2024,1
152,225550,294883,2.04,4.37,0,6,Kharif,1.307395256040789,0,30-12-2024,28-12-2024,0
153,86017,228376,7.82,1.43,0,1,Zaid,2.655010056151691,0,08-05-2024,08-05-2024,0
154,225738,133559,4.63,1.99,2,2,Zaid,0.5916549273937042,1,16-08-2024,03-10-2024,1
155,226258,266541,0.55,1.41,4,4,Rabi,1.1780401134987493,1,31-10-2024,27-10-2024,0
156,200553,86408,4.74,1.74,2,7,Rabi,0.43084870333527797,0.2857142857142857,28-05-2024,28-05-2024,0
157,87957,155423,8.57,2,0,4,Kharif,1.767033891560649,0,22-05-2024,20-05-2024,0
158,57641,79711,9.29,1.72,4,6,Zaid,1.3828871809996357,0.6666666666666666,06-09-2024,02-09-2024,0
159,224615,91786,9.47,2.9,3,7,Rabi,0.4086370010907553,0.42857142857142855,12-04-2024,12-04-2024,0
160,109613,387054,3.96,3.24,4,2,Kharif,3.5310957641885543,2,10-05-2024,06-05-2024,0
161,154055,201734,4.34,3.29,0,4,Zaid,1.3094933627600531,0,14-12-2024,14-12-2024,0
162,289708,208417,5.44,2.71,3,6,Rabi,0.7194036754249106,0.5,06-11-2024,04-11-2024,0
163,145341,341574,2.26,2.54,2,3,Rabi,2.3501558404029144,0.6666666666666666,08-02-2024,05-02-2024,0
164,202256,374060,0.86,2.92,3,7,Rabi,1.8494383355747173,0.42857142857142855,22-09-2024,22-09-2024,0
165,270195,193748,7.46,1.01,4,6,Zaid,0.7170673032439534,0.6666666666666666,06-06-2024,30-07-2024,1
166,206691,476129,2.72,1.17,0,5,Rabi,2.303578772176824,0,13-03-2024,13-03-2024,0
167,142744,401575,1.68,4.83,4,5,Rabi,2.813253096,0.8,16-07-2024,14-07-2024,0
168,180829,84636,9.9,3.97,3,3,Kharif,0.4680443955339022,1,12-03-2024,05-04-2024,1
169,265596,481413,6.27,3.05,1,3,Kharif,1.8125762436181267,0.3333333333333333,13-08-2024,13-08-2024,0
170,136953,208448,9.59,4.3,4,5,Zaid,1.5220404080231904,0.8,23-02-2024,23-02-2024,0
171,96898,199369,5.49,2.04,2,2,Kharif,2.0575140869780593,1,03-12-2024,03-12-2024,0
172,179903,57906,2.63,1.9,0,1,Zaid,0.321873454,0,08-03-2024,04-03-2024,0
173,261249,198746,8.84,2.06,3,5,Kharif,0.7607531512082343,0.6,16-05-2024,14-05-2024,0
174,108801,338075,0.84,2.32,0,5,Kharif,3.1072784257497634,0,13-08-2024,10-08-2024,0
175,53742,381813,2.97,3.89,1,2,Kharif,7.104555096572513,0.5,06-02-2024,03-02-2024,0
176,154092,353899,1.22,4.4,4,6,Zaid,2.2966734158814215,0.6666666666666666,14-12-2024,12-12-2024,0
177,148322,182663,6.79,3.18,4,5,Kharif,1.231530049486927,0.8,15-10-2024,13-10-2024,0
178,39623,248747,8.58,4.47,0,5,Kharif,6.2778436766524495,0,28-12-2024,24-12-2024,0
179,177364,423929,1.51,3.8,3,7,Kharif,2.3901637310840984,0.42857142857142855,12-05-2024,10-05-2024,0
180,69708,124553,4.92,4.52,1,2,Kharif,1.7867820049348713,0.5,08-06-2024,06-06-2024,0
181,62534,142241,8.27,4.33,4,4,Rabi,2.274618607477532,1,21-10-2024,20-10-2024,0
182,238335,125418,9.82,3.53,1,4,Rabi,0.5262256907294355,0.25,09-12-2024,05-12-2024,0
183,278722,182079,1.52,4.04,1,1,Zaid,0.6532638256040069,1,11-08-2024,10-08-2024,0
184,283579,279947,2.21,4.01,3,4,Rabi,0.9871922815159091,0.75,17-12-2024,14-12-2024,0
185,158563,308778,2.08,4.08,0,2,Zaid,1.9473521565560692,0,11-07-2024,10-07-2024,0
186,174893,480783,6.92,2.78,2,3,Zaid,2.749012253206246,0.6666666666666666,07-01-2024,03-01-2024,0
187,143786,487280,3.57,2.95,2,3,Rabi,3.3889252082956616,0.6666666666666666,27-02-2024,26-02-2024,0
188,31745,338173,4.95,4.78,2,5,Zaid,10.652795715860766,0.4,08-02-2024,04-02-2024,0
189,168554,335555,8.48,4.09,3,6,Kharif,1.990786335536386,0.5,27-01-2024,25-01-2024,0
190,268656,487629,1.94,2.73,4,7,Zaid,1.8150683401822405,0.5714285714285714,22-12-2024,20-12-2024,0
191,204403,98901,7.72,2.77,2,1,Rabi,0.48385297671756283,2,27-02-2024,09-04-2024,1
192,199362,76431,8.75,3.86,1,7,Kharif,0.38337797574261895,0.14285714285714285,26-07-2024,24-07-2024,0
193,250983,333707,2.26,4.47,4,7,Rabi,1.3296000127498675,0.5714285714285714,27-01-2024,26-01-2024,0
194,181779,220182,6.45,1.52,4,4,Kharif,1.2112620269668113,1,15-02-2024,15-02-2024,0
195,67837,310550,1.69,3.74,3,1,Kharif,4.577885225,3,14-06-2024,14-06-2024,0
196,272859,179749,6.03,2.08,2,5,Kharif,0.6587614848694747,0.4,27-07-2024,23-07-2024,0
197,274225,207661,4.23,2.92,2,5,Rabi,0.7572650196006928,0.4,04-08-2024,04-08-2024,0
198,71195,332725,9.12,3.9,2,1,Rabi,4.673432123042349,2,16-03-2024,16-03-2024,0
199,189631,295198,5.24,3.47,3,1,Kharif,1.5566969535571715,3,20-07-2024,02-09-2024,1
200,42431,373825,3.6,3.07,0,1,Zaid,8.810185948952418,0,17-03-2024,14-03-2024,0
201,76985,362213,3.56,4.91,1,6,Zaid,4.70498149,0.16666666666666666,01-05-2024,30-04-2024,0
202,147118,380721,0.89,3.68,2,5,Rabi,2.587861444554711,0.4,02-05-2024,02-05-2024,0
203,256293,167832,0.99,3.17,1,4,Rabi,0.6548442602802261,0.25,20-09-2024,19-09-2024,0
204,279931,446605,7.94,3.45,2,4,Zaid,1.5954110119993856,0.5,26-07-2024,23-07-2024,0
205,293797,209033,7.95,2.92,0,4,Zaid,0.7114878640694084,0,27-12-2024,25-12-2024,0
206,231957,122715,2.85,1.64,4,3,Zaid,0.5290420207193575,1.3333333333333333,01-05-2024,24-05-2024,1
207,171094,435773,3.7,1.73,4,7,Kharif,2.5469800226775923,0.5714285714285714,14-10-2024,12-10-2024,0
208,240971,332193,0.7,3.61,4,1,Rabi,1.3785600756937557,4,28-02-2024,06-03-2024,1
209,291090,275314,2.6,2.67,0,7,Kharif,0.9458037033219966,0,27-11-2024,27-11-2024,0
210,79321,182028,8.54,3.52,3,4,Zaid,2.2948273471085843,0.75,20-01-2024,17-01-2024,0
211,286847,246200,4.67,3.9,3,2,Kharif,0.8582972804317284,1.5,30-11-2024,07-01-2025,1
212,299922,226313,9.17,1.84,4,2,Zaid,0.754572856,2,09-02-2024,05-03-2024,1
213,39975,207795,9.14,1.72,3,6,Zaid,5.198123827,0.5,29-11-2024,28-11-2024,0
214,84324,226037,5.18,1.99,3,5,Kharif,2.680577297092168,0.6,20-04-2024,20-04-2024,0
215,121459,287697,1.4,3.61,0,1,Rabi,2.368675849463605,0,28-01-2024,27-01-2024,0
216,164832,202999,6.19,2.59,2,2,Rabi,1.2315509124441857,1,13-07-2024,12-07-2024,0
217,222332,432729,6.86,1.58,4,4,Rabi,1.946319018404908,1,20-09-2024,18-09-2024,0
218,233567,121635,4.1,3.42,4,4,Kharif,0.5207713418419554,1,13-06-2024,05-08-2024,1
219,252944,321991,8.15,3.34,3,3,Kharif,1.272973464482257,1,29-11-2024,28-11-2024,0
220,217576,228686,2.7,1.21,0,7,Rabi,1.0510626172004265,0,04-02-2024,31-01-2024,0
221,179476,284554,3.5,3.03,3,2,Kharif,1.5854710379103614,1.5,02-10-2024,28-09-2024,0
222,186129,182311,7.02,1.07,0,2,Rabi,0.979487345,0,11-10-2024,11-10-2024,0
223,166470,170030,2.92,3.09,3,6,Kharif,1.0213852345768006,0.5,05-12-2024,01-12-2024,0
224,21969,355897,7.46,1.65,4,1,Zaid,16.199963585051663,4,20-09-2024,16-09-2024,0
225,125823,325813,8.75,1.71,1,1,Zaid,2.5894550280950224,1,06-11-2024,05-11-2024,0
226,145354,138009,0.67,1.98,1,7,Kharif,0.9494681948897176,0.14285714285714285,19-08-2024,19-08-2024,0
227,193895,480424,7.05,3.71,2,7,Zaid,2.4777534232445397,0.2857142857142857,21-05-2024,17-05-2024,0
228,178056,160169,3.81,1.64,0,1,Zaid,0.8995428404546885,0,17-06-2024,17-06-2024,0
229,131279,208280,1.36,2.15,2,4,Rabi,1.5865446872690987,0.5,07-04-2024,03-04-2024,0
230,252549,79165,9.29,2.75,1,2,Zaid,0.313463922,0.5,05-10-2024,03-10-2024,0
231,37772,415898,4.07,2.19,0,5,Kharif,11.010748702742772,0,22-05-2024,22-05-2024,0
232,47723,439113,4.26,3.78,3,5,Zaid,9.201286591371037,0.6,31-10-2024,31-10-2024,0
233,99973,375593,6.08,1.67,1,2,Kharif,3.756944374981245,0.5,21-09-2024,19-09-2024,0
234,42612,275049,9.54,4.39,3,5,Zaid,6.454731061672768,0.6,08-08-2024,07-08-2024,0
235,155832,344923,1.92,3.11,3,4,Zaid,2.213428564094666,0.75,27-09-2024,25-09-2024,0
236,232781,208059,9.58,1.07,2,7,Kharif,0.8937971741679948,0.2857142857142857,01-12-2024,27-11-2024,0
237,148803,189978,4.11,1.79,4,6,Kharif,1.276708130884458,0.6666666666666666,01-10-2024,30-09-2024,0
238,157084,231187,2.94,2.14,2,5,Zaid,1.4717412339894578,0.4,26-08-2024,23-08-2024,0
239,141999,164793,6.3,3.86,0,5,Zaid,1.1605222571989944,0,11-05-2024,10-05-2024,0
240,277368,136365,2.22,3.72,1,7,Rabi,0.4916392662455655,0.14285714285714285,07-06-2024,07-06-2024,0
241,241097,255244,2.94,4.85,3,6,Rabi,1.0586776276768273,0.5,19-09-2024,19-09-2024,0
242,62668,456889,1.57,1.01,4,6,Kharif,7.290626795174571,0.6666666666666666,07-08-2024,07-08-2024,0
243,203321,87384,6.64,1.7,0,5,Rabi,0.4297834458811436,0,18-06-2024,18-06-2024,0
244,252601,177834,7.91,2.1,2,4,Kharif,0.7040114647210423,0.5,29-02-2024,28-02-2024,0
245,254386,393715,1.92,2.7,4,7,Zaid,1.547707027902479,0.5714285714285714,18-02-2024,16-02-2024,0
246,37633,329158,5.59,1.71,4,7,Zaid,8.746525656,0.5714285714285714,08-06-2024,06-06-2024,0
247,77993,255768,4.21,3.38,0,2,Zaid,3.2793712256228122,0,15-11-2024,13-11-2024,0
248,24358,377252,6.92,2.77,4,7,Kharif,15.487806880696281,0.5714285714285714,28-08-2024,26-08-2024,0
249,213510,159847,1.72,1.42,1,6,Zaid,0.7486628260971383,0.16666666666666666,11-02-2024,07-02-2024,0
250,32323,423479,6.63,3.38,0,1,Kharif,13.101475729356805,0,10-03-2024,10-03-2024,0
251,136492,122240,8.4,3.68,3,3,Zaid,0.8955836239486563,1,08-06-2024,04-06-2024,0
252,145703,368693,6.13,3.72,3,5,Rabi,2.5304420636500278,0.6,27-02-2024,25-02-2024,0
253,94069,279189,1,2.51,0,3,Zaid,2.967917167185789,0,19-12-2024,16-12-2024,0
254,151733,225915,1.34,4.85,4,7,Kharif,1.4888982620787832,0.5714285714285714,29-10-2024,29-10-2024,0
255,282351,282041,1.42,2.8,3,1,Rabi,0.9989020757851044,3,15-05-2024,08-06-2024,1
