state,year,month,rainfall_mm,avg_temperature_celsius,humidity_percent,drought_flag
Uttar Pradesh,2022,12,121.76,32.3,75.63,0
Uttar Pradesh,2022,1,121.41,37.58,51.97,0
Uttar Pradesh,2020,1,62.58,20.07,67.59,0
Uttar Pradesh,2023,6,214.38,28.24,65.27,0
Punjab,2023,12,50.12,31.0,31.98,0
Karnataka,2020,2,15.23,36.1,53.41,0
Karnataka,2024,2,27.79,29.49,80.05,0
Madhya Pradesh,2022,2,40.21,31.7,35.55,0
Madhya Pradesh,2022,4,17.24,29.69,65.14,0
Maharashtra,2023,2,99.24,33.97,93.43,0
Madhya Pradesh,2023,1,82.28,25.11,81.69,0
Maharashtra,2022,5,47.92,27.66,35.1,0
Uttar Pradesh,2023,4,13.55,39.18,84.34,0
Karnataka,2022,11,107.44,27.0,41.26,0
Punjab,2022,9,262.57,23.51,65.7,0
Punjab,2024,12,110.04,32.52,48.2,0
Uttar Pradesh,2020,3,143.68,34.23,66.03,0
Maharashtra,2020,10,95.64,27.23,46.1,0
Madhya Pradesh,2024,6,342.39,34.67,30.94,0
Madhya Pradesh,2022,7,246.43,19.01,32.65,0
Karnataka,2020,2,129.76,33.48,60.82,0
Karnataka,2024,11,23.7,28.82,60.78,0
Maharashtra,2024,12,34.25,27.54,55.9,0
Punjab,2024,7,446.34,31.97,32.94,0
Karnataka,2021,5,62.45,31.77,62.7,0
Madhya Pradesh,2022,9,542.6,32.49,40.59,0
Punjab,2021,3,19.88,32.13,31.72,0
Punjab,2023,3,92.01,38.69,67.41,0
Karnataka,2020,11,64.34,32.15,59.79,0
Maharashtra,2020,8,418.25,38.71,55.1,0
Karnataka,2023,10,144.57,37.92,42.73,0
Uttar Pradesh,2023,1,19.71,20.22,31.18,0
Uttar Pradesh,2022,12,23.22,33.03,34.63,0
Uttar Pradesh,2021,5,54.66,36.59,31.51,0
Madhya Pradesh,2022,3,124.03,24.2,37.68,0
Punjab,2022,12,107.54,31.84,87.04,0
Uttar Pradesh,2023,2,112.91,35.68,48.33,0
Maharashtra,2020,4,34.84,34.51,82.44,0
Maharashtra,2024,11,148.67,27.08,54.18,0
Uttar Pradesh,2020,8,510.57,25.5,90.5,0
Uttar Pradesh,2020,7,543.37,27.44,78.81,0
Madhya Pradesh,2021,9,501.82,20.27,88.67,0
Karnataka,2021,1,80.74,36.18,50.8,0
Karnataka,2020,9,558.21,26.56,30.7,0
Maharashtra,2023,1,136.75,20.01,50.76,0
Karnataka,2023,6,580.02,38.91,67.27,0
Madhya Pradesh,2020,8,452.73,27.87,49.06,0
Maharashtra,2021,5,56.01,32.8,78.9,0
Uttar Pradesh,2021,2,120.82,35.37,35.93,0
Karnataka,2023,9,397.77,19.27,65.72,0
Madhya Pradesh,2024,1,71.81,37.53,52.81,0
Madhya Pradesh,2020,5,26.39,21.15,79.5,0
Punjab,2023,2,96.55,20.22,35.47,0
Madhya Pradesh,2024,12,108.14,19.6,83.42,0
Uttar Pradesh,2024,7,482.5,19.79,35.51,0
Uttar Pradesh,2022,1,148.13,26.23,54.09,0
Maharashtra,2020,12,123.79,38.84,94.09,0
Uttar Pradesh,2022,12,115.47,26.28,35.43,0
Maharashtra,2023,3,118.8,30.28,57.57,0
Punjab,2021,12,136.89,20.45,62.02,0
Karnataka,2023,1,11.59,28.31,33.66,0
Punjab,2021,7,247.53,20.59,72.2,0
Uttar Pradesh,2021,12,114.45,30.83,92.54,0
Maharashtra,2020,1,62.48,24.29,86.46,0
Maharashtra,2023,12,41.3,39.19,30.79,0
Madhya Pradesh,2020,3,145.78,18.95,87.92,0
Madhya Pradesh,2022,10,83.88,39.85,34.8,0
Maharashtra,2022,9,421.54,39.32,64.0,0
Punjab,2021,3,98.12,33.31,59.55,0
Uttar Pradesh,2022,12,97.86,30.85,88.58,0
Madhya Pradesh,2020,7,218.18,24.18,91.78,0
Punjab,2024,10,134.64,28.02,70.31,0
Karnataka,2023,8,310.95,22.14,60.14,0
Uttar Pradesh,2020,3,59.47,30.84,35.05,0
Maharashtra,2021,1,146.42,39.7,75.38,0
Madhya Pradesh,2021,4,85.05,24.81,82.9,0
Karnataka,2022,10,105.86,21.58,89.21,0
Karnataka,2024,7,529.01,38.9,77.17,0
Karnataka,2020,10,95.88,27.2,90.63,0
Uttar Pradesh,2024,7,546.43,18.99,31.71,0
Punjab,2022,6,350.59,35.83,94.17,0
Karnataka,2021,1,31.06,31.07,54.76,0
Punjab,2022,8,587.97,36.53,84.49,0
Karnataka,2024,7,387.48,27.13,47.77,0
Madhya Pradesh,2023,4,17.89,37.02,82.84,0
Uttar Pradesh,2020,1,149.96,39.93,66.1,0
Karnataka,2023,6,507.59,38.78,85.23,0
Madhya Pradesh,2021,12,44.63,27.91,38.4,0
Punjab,2021,3,143.57,31.34,44.86,0
Madhya Pradesh,2023,4,104.04,31.6,53.28,0
Uttar Pradesh,2024,6,245.42,32.77,63.82,0
Punjab,2020,1,118.12,29.44,85.39,0
Uttar Pradesh,2024,9,420.76,30.34,86.98,0
Maharashtra,2020,5,66.49,20.95,31.87,0
Karnataka,2020,11,115.72,31.65,75.77,0
Maharashtra,2024,4,39.81,21.0,30.95,0
Maharashtra,2022,8,340.24,30.98,55.5,0
Maharashtra,2022,6,374.99,37.89,52.64,0
Uttar Pradesh,2022,1,81.96,35.24,55.78,0
Uttar Pradesh,2022,2,97.09,36.97,91.72,0
Madhya Pradesh,2022,5,30.59,38.38,61.99,0
Karnataka,2024,5,46.15,28.1,93.7,0
Punjab,2021,12,78.97,25.23,71.17,0
Maharashtra,2020,9,296.06,19.67,38.38,0
Karnataka,2024,5,27.93,21.34,39.02,0
Maharashtra,2020,8,456.35,22.0,52.47,0
Madhya Pradesh,2020,5,135.55,28.43,73.39,0
Karnataka,2021,4,34.12,22.23,32.66,0
Maharashtra,2021,7,267.57,24.13,41.51,0
Punjab,2022,4,22.42,20.65,59.95,0
Karnataka,2023,7,282.53,26.01,62.72,0
Punjab,2020,1,106.66,18.86,81.96,0
Punjab,2024,2,97.91,19.8,86.78,0
Maharashtra,2024,4,138.92,19.34,48.0,0
Karnataka,2023,6,522.48,34.46,41.99,0
Karnataka,2022,7,283.74,26.15,61.49,0
Karnataka,2022,9,447.3,26.12,60.06,0
Karnataka,2020,12,114.65,18.81,46.41,0
Maharashtra,2021,12,109.87,37.69,63.26,0
Maharashtra,2022,5,84.5,20.36,59.08,0
Uttar Pradesh,2020,7,413.05,23.33,47.5,0
Karnataka,2023,12,62.82,18.44,50.94,0
Karnataka,2021,9,284.58,25.2,37.78,0
Uttar Pradesh,2021,7,556.21,31.06,74.14,0
Uttar Pradesh,2020,10,120.48,28.97,35.65,0
Uttar Pradesh,2021,6,414.84,30.91,78.45,0
Karnataka,2021,5,70.43,20.81,48.45,0
Punjab,2021,6,345.23,32.21,67.1,0
Maharashtra,2020,4,59.85,39.7,69.38,0
Punjab,2022,12,43.21,20.24,39.94,0
Karnataka,2022,2,44.43,21.53,42.13,0
Maharashtra,2022,10,49.91,21.81,88.29,0
Punjab,2022,8,232.09,29.54,56.68,0
Punjab,2024,4,147.53,20.46,55.86,0
Madhya Pradesh,2024,12,145.73,37.04,83.11,0
Madhya Pradesh,2020,8,303.16,21.76,73.46,0
Uttar Pradesh,2020,3,140.11,30.25,67.15,0
Maharashtra,2022,9,311.99,34.93,42.16,0
Madhya Pradesh,2023,8,329.47,27.36,62.99,0
Maharashtra,2024,3,43.94,20.53,69.69,0
Punjab,2024,7,315.45,30.79,40.03,0
Maharashtra,2020,7,392.46,29.72,33.37,0
Punjab,2020,1,57.12,20.96,34.12,0
Madhya Pradesh,2023,5,148.59,25.09,82.64,0
Punjab,2024,5,45.65,32.99,79.41,0
Punjab,2023,1,93.39,28.37,56.77,0
Madhya Pradesh,2021,9,339.55,38.45,83.99,0
Karnataka,2022,4,145.1,20.73,77.51,0
Uttar Pradesh,2024,10,141.37,21.99,34.32,0
Madhya Pradesh,2022,2,113.76,30.64,84.72,0
Karnataka,2022,6,255.91,35.5,43.11,0
Karnataka,2022,11,32.91,21.61,82.95,0
Madhya Pradesh,2021,7,466.08,29.51,53.32,0
Madhya Pradesh,2021,3,132.81,26.63,83.08,0
Punjab,2021,9,375.65,26.29,60.07,0
Madhya Pradesh,2021,11,52.19,34.45,62.68,0
Punjab,2020,6,292.89,37.79,54.95,0
Maharashtra,2022,4,86.1,37.94,70.58,0
Uttar Pradesh,2020,11,26.37,38.68,70.8,0
Uttar Pradesh,2020,1,56.89,21.06,81.61,0
Uttar Pradesh,2024,7,448.03,29.74,88.1,0
Uttar Pradesh,2022,8,515.44,21.34,50.26,0
Uttar Pradesh,2020,11,44.79,34.37,32.18,0
Uttar Pradesh,2021,2,89.78,34.77,86.99,0
Madhya Pradesh,2023,4,57.89,36.07,37.19,0
Punjab,2021,10,128.5,20.8,55.82,0
Maharashtra,2020,11,121.62,21.3,44.9,0
Punjab,2023,4,111.12,33.84,71.67,0
Madhya Pradesh,2022,4,107.15,29.94,46.37,0
Madhya Pradesh,2023,6,338.28,22.0,89.05,0
Maharashtra,2020,8,433.36,26.82,60.03,0
Uttar Pradesh,2020,6,578.91,21.37,68.1,0
Karnataka,2024,2,80.82,31.45,31.18,0
Uttar Pradesh,2020,6,548.85,38.51,66.73,0
Punjab,2023,6,478.66,38.29,75.97,0
Madhya Pradesh,2022,7,261.02,30.68,69.44,0
Karnataka,2021,4,69.38,34.2,90.73,0
Karnataka,2022,2,139.58,27.92,37.36,0
Uttar Pradesh,2022,1,147.88,36.46,38.1,0
Punjab,2023,11,138.92,37.14,63.72,0
Maharashtra,2024,1,92.78,26.78,33.56,0
Maharashtra,2024,6,334.08,35.66,30.3,0
Punjab,2021,5,56.69,26.76,64.93,0
Karnataka,2024,6,567.94,25.62,52.55,0
Maharashtra,2021,7,495.0,27.95,44.6,0
Punjab,2022,7,380.98,21.1,41.47,0
Uttar Pradesh,2021,1,79.77,27.22,89.46,0
Punjab,2021,7,344.96,30.77,71.1,0
Madhya Pradesh,2020,7,205.24,32.6,41.57,0
Maharashtra,2022,1,144.55,21.27,56.95,0
Maharashtra,2023,9,234.14,39.93,62.64,0
Uttar Pradesh,2020,3,93.35,19.48,78.75,0
Uttar Pradesh,2021,6,283.96,37.76,43.33,0
Maharashtra,2023,9,276.28,18.8,60.68,0
Punjab,2022,7,425.94,19.45,80.41,0
Karnataka,2022,3,73.46,29.54,58.65,0
Maharashtra,2023,12,66.11,30.31,40.09,0
Maharashtra,2023,3,35.47,36.96,91.5,0
Madhya Pradesh,2020,7,349.32,23.96,71.86,0
Karnataka,2020,1,67.22,18.56,40.15,0
Maharashtra,2022,8,486.39,32.5,31.76,0
Uttar Pradesh,2022,6,288.79,23.08,73.67,0
Karnataka,2023,2,12.76,20.29,81.99,0
Karnataka,2023,10,35.0,32.36,45.48,0
Punjab,2024,6,239.78,23.35,76.95,0
Madhya Pradesh,2020,5,129.8,36.26,55.82,0
Maharashtra,2024,2,103.53,22.51,49.05,0
Karnataka,2023,6,558.53,18.29,35.56,0
Punjab,2022,6,283.15,18.58,41.79,0
Maharashtra,2024,4,91.63,27.27,88.02,0
Madhya Pradesh,2024,7,526.98,25.52,46.86,0
Madhya Pradesh,2023,3,63.16,30.99,47.42,0
Punjab,2022,7,449.66,27.01,65.88,0
Punjab,2024,1,71.06,24.48,91.65,0
Madhya Pradesh,2023,7,505.44,21.08,86.45,0
Karnataka,2024,2,78.24,37.68,81.99,0
Madhya Pradesh,2021,3,69.53,18.49,47.46,0
Madhya Pradesh,2022,4,85.83,31.94,46.76,0
Uttar Pradesh,2021,2,29.51,36.37,93.99,0
Maharashtra,2023,9,410.28,21.78,47.7,0
Maharashtra,2023,2,12.57,38.11,37.65,0
Uttar Pradesh,2023,12,90.71,24.03,66.02,0
Uttar Pradesh,2023,1,101.2,36.25,43.42,0
Maharashtra,2020,6,204.4,21.01,88.5,0
Madhya Pradesh,2022,8,549.56,31.14,69.03,0
Punjab,2023,12,103.11,21.86,89.44,0
Karnataka,2021,9,367.51,26.43,63.73,0
Madhya Pradesh,2022,12,16.58,21.66,77.97,0
Maharashtra,2023,7,233.12,31.27,45.95,0
Punjab,2021,10,64.5,24.35,53.12,0
Maharashtra,2021,9,487.62,24.54,66.82,0
Maharashtra,2024,10,76.65,32.6,90.89,0
Karnataka,2024,8,493.03,22.73,32.03,0
Uttar Pradesh,2021,2,46.72,31.09,33.34,0
Madhya Pradesh,2020,7,398.55,31.13,51.73,0
Madhya Pradesh,2023,5,117.93,20.35,34.88,0
Maharashtra,2021,11,111.95,28.9,74.75,0
Punjab,2024,1,70.88,23.42,83.24,0
Punjab,2021,11,121.92,33.28,47.69,0
Madhya Pradesh,2024,2,92.63,25.94,35.95,0
Uttar Pradesh,2022,12,138.42,21.01,91.77,0
Madhya Pradesh,2023,3,72.44,22.07,65.22,0
Karnataka,2023,8,549.18,34.11,82.43,0
Karnataka,2021,6,463.51,33.23,85.2,0
Uttar Pradesh,2021,10,44.95,28.77,44.38,0
Maharashtra,2020,12,148.27,38.77,32.56,0
Karnataka,2020,10,108.78,38.36,41.74,0
Maharashtra,2020,9,427.18,38.14,32.21,0
Maharashtra,2020,11,107.64,24.54,90.09,0
Madhya Pradesh,2023,6,588.42,38.77,60.82,0
Maharashtra,2023,10,130.69,36.58,50.74,0
Punjab,2022,12,126.05,18.81,68.76,0
Karnataka,2021,1,42.2,20.65,35.0,0
Uttar Pradesh,2023,7,478.52,25.48,77.11,0
Maharashtra,2024,4,19.15,24.94,65.07,0
Maharashtra,2024,7,516.29,25.01,70.68,0
Karnataka,2024,11,134.04,31.55,45.14,0
Uttar Pradesh,2020,12,13.42,37.14,31.38,0
Uttar Pradesh,2023,4,132.46,29.64,91.04,0
Madhya Pradesh,2024,7,519.51,39.95,52.8,0
Karnataka,2022,9,506.88,26.84,61.19,0
Karnataka,2023,12,97.85,37.22,93.97,0
Karnataka,2024,6,507.31,27.19,57.39,0
Uttar Pradesh,2023,2,113.26,23.25,37.18,0
Karnataka,2024,9,341.85,24.32,49.26,0
Karnataka,2020,1,42.71,18.93,31.16,0
Madhya Pradesh,2022,3,148.28,27.41,54.98,0
Karnataka,2021,7,471.86,22.8,91.75,0
Madhya Pradesh,2021,7,514.54,19.97,57.14,0
Punjab,2023,12,133.08,38.78,60.38,0
Punjab,2020,10,95.88,21.67,94.43,0
Uttar Pradesh,2022,1,42.43,38.74,72.23,0
Madhya Pradesh,2023,12,95.08,29.28,44.99,0
Madhya Pradesh,2024,5,34.71,22.85,42.12,0
Madhya Pradesh,2020,8,511.83,25.7,33.76,0
Uttar Pradesh,2023,6,587.64,37.44,90.3,0
Maharashtra,2024,2,149.29,21.83,55.76,0
Uttar Pradesh,2023,5,116.15,33.31,40.0,0
Karnataka,2020,6,526.33,22.94,44.55,0
Uttar Pradesh,2023,10,85.18,31.04,67.71,0
Punjab,2024,1,22.81,37.3,47.26,0
Karnataka,2022,3,28.13,37.55,92.12,0
Maharashtra,2023,9,544.85,35.81,72.59,0
Karnataka,2023,11,87.12,19.91,56.55,0
Uttar Pradesh,2023,8,349.08,23.71,77.02,0
Karnataka,2023,1,79.42,19.78,44.31,0
Karnataka,2022,11,105.66,19.67,85.33,0
Punjab,2024,8,398.06,28.57,68.51,0
Madhya Pradesh,2024,7,529.87,25.65,74.07,0
Punjab,2021,10,89.2,23.87,87.11,0
Karnataka,2020,6,518.97,32.49,85.29,0
Madhya Pradesh,2024,8,546.92,33.58,84.41,0
Karnataka,2020,8,478.99,32.96,70.21,0
Uttar Pradesh,2024,7,501.09,21.49,87.26,0
Punjab,2023,10,132.06,18.64,83.68,0
Madhya Pradesh,2024,9,251.55,25.37,78.33,0
Maharashtra,2022,11,32.51,36.0,84.09,0
Punjab,2022,3,81.05,18.14,48.66,0
Maharashtra,2023,6,446.77,39.59,71.07,0
Maharashtra,2021,11,46.37,31.95,65.1,0
Uttar Pradesh,2023,3,119.18,20.35,79.47,0
Punjab,2023,3,85.78,39.19,52.22,0
Karnataka,2024,2,98.57,38.5,36.66,0
Madhya Pradesh,2023,6,574.89,33.13,34.41,0
Madhya Pradesh,2022,1,52.13,33.58,34.38,0
Madhya Pradesh,2020,1,91.5,25.61,70.36,0
Maharashtra,2021,5,16.4,37.17,93.28,0
Maharashtra,2023,11,145.64,34.49,38.46,0
Karnataka,2024,3,116.16,18.54,31.44,0
Uttar Pradesh,2024,6,329.44,28.75,80.08,0
Uttar Pradesh,2021,9,473.32,27.81,47.79,0
Maharashtra,2021,10,149.6,27.38,59.34,0
Uttar Pradesh,2020,10,32.91,35.49,75.09,0
Uttar Pradesh,2024,11,40.91,19.81,74.23,0
Karnataka,2022,2,101.63,24.01,91.81,0
Karnataka,2023,6,260.42,27.51,91.34,0
Karnataka,2022,3,68.76,32.05,55.84,0
Maharashtra,2023,5,48.39,39.65,56.61,0
Karnataka,2021,6,557.64,23.06,43.85,0
Madhya Pradesh,2020,7,212.45,32.34,53.95,0
Maharashtra,2020,9,545.74,28.41,92.93,0
Punjab,2021,10,35.97,37.11,80.48,0
Punjab,2021,5,117.93,36.59,79.47,0
Punjab,2020,3,97.67,20.89,32.11,0
Maharashtra,2022,11,138.92,31.57,81.77,0
Maharashtra,2021,5,77.41,20.58,38.14,0
Maharashtra,2021,6,474.23,27.47,43.03,0
Karnataka,2023,12,78.82,19.41,67.83,0
Uttar Pradesh,2022,5,47.66,35.55,50.17,0
Uttar Pradesh,2022,10,73.73,18.26,34.71,0
Madhya Pradesh,2024,6,357.0,28.56,69.0,0
Maharashtra,2023,2,50.83,33.29,85.91,0
Karnataka,2021,10,119.18,18.87,61.23,0
Madhya Pradesh,2021,11,24.69,23.32,94.13,0
Punjab,2023,2,29.95,28.98,70.18,0
Maharashtra,2023,7,480.99,30.31,30.64,0
Maharashtra,2021,2,55.7,29.39,35.71,0
Uttar Pradesh,2021,3,59.09,18.73,35.11,0
Punjab,2020,2,65.57,20.92,66.89,0
Punjab,2023,6,475.79,35.61,43.01,0
Uttar Pradesh,2022,11,33.45,20.3,71.37,0
Punjab,2022,10,108.91,18.69,90.85,0
Madhya Pradesh,2024,2,17.28,29.91,76.09,0
Madhya Pradesh,2022,8,548.39,33.71,82.11,0
Uttar Pradesh,2020,2,57.52,35.93,35.21,0
Punjab,2021,6,557.93,30.05,83.12,0
Uttar Pradesh,2021,6,380.93,32.16,64.22,0
Punjab,2023,1,112.42,19.8,33.92,0
Madhya Pradesh,2024,5,44.59,21.51,86.67,0
Karnataka,2022,7,287.69,39.47,51.9,0
Uttar Pradesh,2023,7,272.85,35.37,72.82,0
Maharashtra,2024,12,79.75,30.22,76.75,0
Uttar Pradesh,2020,9,291.38,39.92,93.36,0
Madhya Pradesh,2021,3,101.05,22.39,74.21,0
Karnataka,2022,2,20.11,18.67,46.75,0
Maharashtra,2020,1,74.77,37.1,77.27,0
Karnataka,2020,4,113.98,27.36,52.49,0
Maharashtra,2022,6,348.42,39.73,32.61,0
Karnataka,2020,9,546.81,30.73,58.51,0
Maharashtra,2021,12,111.54,28.71,86.77,0
Punjab,2020,4,136.1,27.28,47.99,0
Punjab,2021,1,92.93,38.07,43.69,0
Madhya Pradesh,2020,12,97.22,31.89,77.65,0
Karnataka,2020,4,28.42,33.75,89.09,0
Karnataka,2023,11,35.16,23.23,93.14,0
Madhya Pradesh,2021,5,35.34,36.8,62.0,0
Maharashtra,2020,7,298.89,37.16,58.94,0
Punjab,2020,2,82.07,25.9,68.54,0
Madhya Pradesh,2020,5,32.89,26.6,93.01,0
Madhya Pradesh,2021,3,46.14,32.45,51.14,0
Karnataka,2023,9,509.39,20.88,93.04,0
Uttar Pradesh,2023,9,381.52,23.19,34.78,0
Karnataka,2020,10,33.77,29.44,51.91,0
Punjab,2024,9,531.55,27.48,46.17,0
Uttar Pradesh,2021,1,96.4,33.55,40.86,0
Madhya Pradesh,2023,12,33.47,18.81,77.87,0
Madhya Pradesh,2023,8,465.52,28.44,84.87,0
Punjab,2022,9,522.27,30.88,86.44,0
Maharashtra,2021,9,282.34,20.46,47.53,0
Punjab,2022,7,222.83,29.69,90.88,0
Maharashtra,2024,6,215.74,20.69,59.39,0
Karnataka,2020,3,140.74,24.96,62.97,0
Karnataka,2021,12,15.82,21.26,94.13,0
Punjab,2022,5,145.12,18.11,91.87,0
Maharashtra,2020,11,99.48,37.09,59.56,0
Uttar Pradesh,2023,3,82.18,28.75,73.35,0
Punjab,2024,7,255.86,18.66,50.02,0
Punjab,2020,12,108.66,22.44,73.77,0
Madhya Pradesh,2022,7,587.96,20.07,73.72,0
Uttar Pradesh,2020,5,72.13,37.1,41.51,0
Uttar Pradesh,2023,9,477.05,36.44,91.4,0
Karnataka,2020,7,473.3,28.94,70.16,0
Madhya Pradesh,2022,11,131.65,30.55,31.98,0
Maharashtra,2022,1,140.33,33.17,73.97,0
Karnataka,2021,9,286.27,32.5,55.6,0
Punjab,2022,3,101.17,20.35,72.76,0
Uttar Pradesh,2024,5,149.92,19.06,93.52,0
Maharashtra,2024,6,362.76,37.16,80.86,0
Uttar Pradesh,2024,6,426.81,34.25,87.1,0
Uttar Pradesh,2021,8,361.66,25.19,73.39,0
Madhya Pradesh,2020,12,123.1,34.77,81.86,0
Punjab,2021,3,70.98,35.99,37.81,0
Uttar Pradesh,2023,7,417.8,18.13,51.1,0
Punjab,2021,1,61.3,26.72,75.21,0
Punjab,2024,8,355.42,27.87,45.44,0
Maharashtra,2022,5,62.26,23.0,34.76,0
Punjab,2021,12,94.48,32.7,70.27,0
Madhya Pradesh,2020,5,74.89,26.36,86.12,0
Punjab,2023,2,82.67,28.54,31.67,0
Madhya Pradesh,2024,7,336.5,26.36,55.92,0
Karnataka,2023,1,91.22,29.74,69.51,0
Karnataka,2022,12,117.08,35.89,76.68,0
Punjab,2021,4,143.77,18.4,42.73,0
Madhya Pradesh,2021,8,203.03,32.24,88.37,0
Uttar Pradesh,2020,4,44.09,38.39,33.92,0
Punjab,2024,10,140.82,25.74,36.59,0
Madhya Pradesh,2022,8,394.35,23.65,48.52,0
Uttar Pradesh,2021,11,53.02,35.67,65.05,0
Uttar Pradesh,2022,6,324.52,31.43,76.55,0
Madhya Pradesh,2022,5,48.17,27.1,37.92,0
Karnataka,2024,12,35.36,32.98,41.79,0
Maharashtra,2023,12,83.52,33.6,36.95,0
Punjab,2020,11,89.42,23.64,92.59,0
Karnataka,2023,4,77.7,35.73,65.76,0
Madhya Pradesh,2022,11,16.08,31.93,91.84,0
Madhya Pradesh,2024,9,440.64,36.02,87.47,0
Karnataka,2021,2,41.93,22.66,69.71,0
Maharashtra,2020,11,67.54,36.48,88.5,0
Uttar Pradesh,2021,8,341.37,23.21,80.73,0
Punjab,2024,3,48.47,36.1,57.54,0
Uttar Pradesh,2020,1,103.46,20.1,70.55,0
