transaction_id,buyer_id,buyer_base_delay_rate,crop_type,season,quantity,price,shipment_duration,sale_date,expected_payment_date,actual_payment_date,delay_flag
20,1,0.1,Wheat,Kharif,227,2804.4,11,2025-04-14,2025-04-21,2025-04-20,0
21,0,0.35,Rice,Monsoon,884,4470.34,10,2025-06-19,2025-06-26,2025-07-05,1
22,5,0.35,Wheat,Rabi,135,4294.03,2,2025-05-22,2025-05-29,2025-05-28,0
23,4,0.35,Wheat,Summer,953,2648.53,11,2025-02-27,2025-03-06,2025-03-18,1
24,6,0.65,Maize,Summer,363,4194.98,6,2025-04-26,2025-05-03,2025-05-02,0
25,0,0.35,Maize,Rabi,756,2895.87,4,2025-04-27,2025-05-04,2025-05-13,1
26,9,0.1,Maize,Monsoon,659,2140.03,6,2025-03-10,2025-03-17,2025-03-16,0
27,7,0.1,Rice,Monsoon,1192,1829.55,5,2025-06-25,2025-07-02,2025-07-09,1
28,7,0.1,Wheat,Rabi,901,2413.13,11,2025-01-01,2025-01-08,2025-01-18,1
29,9,0.1,Soybean,Rabi,789,3506.78,2,2025-04-11,2025-04-18,2025-04-17,0
30,5,0.35,Rice,Summer,598,3663.89,8,2025-06-03,2025-06-10,2025-06-09,0
31,7,0.1,Cotton,Monsoon,1198,4571.15,5,2025-06-13,2025-06-20,2025-06-19,0
32,9,0.1,Soybean,Rabi,195,2692.81,6,2025-01-23,2025-01-30,2025-01-30,0
33,9,0.1,Maize,Kharif,496,4634.33,2,2025-05-27,2025-06-03,2025-06-02,0
34,0,0.35,Rice,Kharif,984,1820.96,10,2025-02-22,2025-03-01,2025-03-10,1
35,3,0.1,Maize,Summer,733,3045.36,8,2025-03-17,2025-03-24,2025-03-24,0
36,2,0.1,Maize,Kharif,1045,4621.64,3,2025-03-24,2025-03-31,2025-04-10,1
37,8,0.1,Rice,Monsoon,544,2822.96,8,2025-02-08,2025-02-15,2025-02-14,0
38,6,0.65,Rice,Summer,1124,3883.64,10,2025-02-25,2025-03-04,2025-03-07,1
39,6,0.65,Cotton,Summer,914,4619.0,7,2025-06-13,2025-06-20,2025-06-20,0
40,8,0.1,Rice,Monsoon,755,4079.85,11,2025-06-01,2025-06-08,2025-06-07,0
41,0,0.35,Rice,Rabi,639,1772.07,10,2025-05-25,2025-06-01,2025-06-12,1
42,2,0.1,Soybean,Monsoon,489,4824.3,6,2025-02-25,2025-03-04,2025-03-03,0
43,3,0.1,Soybean,Summer,952,4123.52,10,2025-06-10,2025-06-17,2025-06-16,0
44,1,0.1,Soybean,Summer,870,3444.01,6,2025-03-24,2025-03-31,2025-03-31,0
45,7,0.1,Maize,Rabi,980,4149.5,3,2025-06-03,2025-06-10,2025-06-22,1
46,7,0.1,Rice,Summer,335,3463.28,10,2025-05-31,2025-06-07,2025-06-07,0
47,0,0.35,Wheat,Kharif,863,4931.62,3,2025-04-01,2025-04-08,2025-04-08,0
48,6,0.65,Wheat,Rabi,180,4823.32,5,2025-01-17,2025-01-24,2025-01-23,0
49,2,0.1,Rice,Summer,142,2340.51,4,2025-03-21,2025-03-28,2025-03-28,0
50,1,0.1,Soybean,Kharif,192,4905.89,11,2025-04-02,2025-04-09,2025-04-08,0
51,7,0.1,Cotton,Summer,645,1950.62,11,2025-02-16,2025-02-23,2025-03-06,1
52,6,0.65,Soybean,Summer,724,3590.47,5,2025-01-14,2025-01-21,2025-02-02,1
53,5,0.35,Soybean,Monsoon,1126,4633.22,3,2025-01-15,2025-01-22,2025-02-02,1
54,8,0.1,Soybean,Kharif,225,1919.17,2,2025-05-18,2025-05-25,2025-05-25,0
55,7,0.1,Wheat,Monsoon,694,2825.7,6,2025-02-28,2025-03-07,2025-03-07,0
56,2,0.1,Maize,Kharif,723,2062.38,9,2025-01-31,2025-02-07,2025-02-17,1
57,0,0.35,Maize,Summer,745,4912.74,9,2025-03-20,2025-03-27,2025-03-27,0
58,0,0.35,Rice,Summer,324,4076.87,2,2025-02-06,2025-02-13,2025-02-26,1
59,9,0.1,Wheat,Monsoon,271,2206.06,9,2025-04-11,2025-04-18,2025-04-29,1
60,3,0.1,Soybean,Rabi,417,4110.91,3,2025-05-17,2025-05-24,2025-05-23,0
61,1,0.1,Soybean,Kharif,369,4298.38,4,2025-05-03,2025-05-10,2025-05-09,0
62,6,0.65,Maize,Rabi,899,3119.38,7,2025-06-02,2025-06-09,2025-06-12,1
63,9,0.1,Rice,Monsoon,678,3696.98,9,2025-04-21,2025-04-28,2025-05-01,1
64,1,0.1,Rice,Kharif,1050,2000.95,5,2025-05-03,2025-05-10,2025-05-09,0
65,1,0.1,Soybean,Monsoon,146,2931.34,3,2025-06-13,2025-06-20,2025-06-19,0
66,0,0.35,Cotton,Kharif,811,2982.59,11,2025-05-21,2025-05-28,2025-06-07,1
67,4,0.35,Wheat,Monsoon,226,2033.89,11,2025-02-09,2025-02-16,2025-02-27,1
68,7,0.1,Maize,Rabi,1082,4722.95,7,2025-05-29,2025-06-05,2025-06-05,0
69,2,0.1,Wheat,Rabi,674,2950.77,11,2025-06-11,2025-06-18,2025-07-01,1
70,1,0.1,Soybean,Kharif,384,3532.06,7,2025-02-18,2025-02-25,2025-02-25,0
71,4,0.35,Wheat,Summer,660,2548.59,8,2025-03-03,2025-03-10,2025-03-09,0
72,5,0.35,Wheat,Rabi,601,3042.67,3,2025-05-12,2025-05-19,2025-05-19,0
73,0,0.35,Rice,Summer,186,4926.26,3,2025-02-26,2025-03-05,2025-03-05,0
74,1,0.1,Soybean,Rabi,1174,3784.61,9,2025-03-19,2025-03-26,2025-04-05,1
75,8,0.1,Maize,Summer,250,4468.45,4,2025-01-02,2025-01-09,2025-01-09,0
76,0,0.35,Rice,Rabi,360,2708.17,10,2025-03-27,2025-04-03,2025-04-17,1
77,3,0.1,Maize,Summer,625,4095.9,3,2025-01-22,2025-01-29,2025-01-29,0
78,5,0.35,Maize,Summer,140,2459.19,2,2025-03-17,2025-03-24,2025-03-24,0
79,8,0.1,Soybean,Summer,920,2113.8,2,2025-05-02,2025-05-09,2025-05-08,0
80,6,0.65,Wheat,Rabi,128,2862.53,9,2025-02-08,2025-02-15,2025-02-14,0
81,9,0.1,Rice,Kharif,850,2417.92,4,2025-04-19,2025-04-26,2025-04-26,0
82,6,0.65,Maize,Kharif,160,3909.41,11,2025-04-18,2025-04-25,2025-05-09,1
83,7,0.1,Soybean,Rabi,916,1978.87,11,2025-01-12,2025-01-19,2025-01-29,1
84,5,0.35,Soybean,Rabi,565,3212.99,11,2025-02-01,2025-02-08,2025-02-07,0
85,3,0.1,Wheat,Kharif,728,4058.58,4,2025-03-23,2025-03-30,2025-03-30,0
86,9,0.1,Wheat,Rabi,1094,3462.37,3,2025-04-18,2025-04-25,2025-04-25,0
87,2,0.1,Wheat,Kharif,115,2993.86,3,2025-06-07,2025-06-14,2025-06-14,0
88,5,0.35,Maize,Kharif,576,1631.59,10,2025-05-01,2025-05-08,2025-05-20,1
89,7,0.1,Soybean,Rabi,475,2505.34,5,2025-06-25,2025-07-02,2025-07-02,0
90,5,0.35,Maize,Summer,160,2406.44,7,2025-03-29,2025-04-05,2025-04-05,0
91,9,0.1,Rice,Rabi,984,4407.25,11,2025-06-18,2025-06-25,2025-06-28,1
92,3,0.1,Soybean,Summer,788,3313.91,5,2025-06-12,2025-06-19,2025-06-18,0
93,9,0.1,Rice,Summer,428,4632.23,6,2025-03-08,2025-03-15,2025-03-15,0
94,5,0.35,Cotton,Rabi,1054,2484.87,7,2025-03-31,2025-04-07,2025-04-06,0
95,2,0.1,Wheat,Kharif,1163,4590.17,4,2025-04-08,2025-04-15,2025-04-25,1
96,4,0.35,Cotton,Monsoon,880,4429.55,10,2025-06-04,2025-06-11,2025-06-19,1
97,5,0.35,Cotton,Summer,525,1951.04,6,2025-04-10,2025-04-17,2025-04-21,1
98,8,0.1,Cotton,Kharif,459,2409.31,9,2025-06-07,2025-06-14,2025-06-23,1
99,4,0.35,Wheat,Kharif,1088,4260.82,5,2025-01-17,2025-01-24,2025-02-07,1
100,6,0.65,Cotton,Monsoon,405,4965.52,5,2025-01-07,2025-01-14,2025-01-27,1
101,9,0.1,Wheat,Rabi,837,4989.94,2,2025-01-15,2025-01-22,2025-01-22,0
102,8,0.1,Rice,Rabi,847,1609.56,6,2025-03-25,2025-04-01,2025-03-31,0
103,5,0.35,Soybean,Summer,1108,3780.83,3,2025-03-13,2025-03-20,2025-04-03,1
104,6,0.65,Rice,Summer,448,1959.36,6,2025-05-28,2025-06-04,2025-06-03,0
105,2,0.1,Rice,Monsoon,1116,2062.89,7,2025-03-29,2025-04-05,2025-04-15,1
106,3,0.1,Cotton,Rabi,265,2520.82,10,2025-05-16,2025-05-23,2025-05-23,0
107,4,0.35,Wheat,Summer,691,3188.25,5,2025-04-07,2025-04-14,2025-04-13,0
108,3,0.1,Soybean,Kharif,293,4921.13,11,2025-04-16,2025-04-23,2025-04-23,0
109,6,0.65,Wheat,Kharif,1196,1681.9,10,2025-06-27,2025-07-04,2025-07-18,1
110,7,0.1,Wheat,Rabi,614,1642.64,11,2025-01-12,2025-01-19,2025-01-19,0
111,7,0.1,Rice,Summer,408,3805.48,4,2025-05-30,2025-06-06,2025-06-13,1
112,4,0.35,Cotton,Summer,192,2964.4,2,2025-06-08,2025-06-15,2025-06-27,1
113,2,0.1,Rice,Summer,1046,3525.36,5,2025-03-07,2025-03-14,2025-03-14,0
114,0,0.35,Wheat,Rabi,736,2237.32,3,2025-04-09,2025-04-16,2025-04-15,0
115,0,0.35,Cotton,Kharif,474,2945.61,7,2025-03-01,2025-03-08,2025-03-18,1
116,9,0.1,Cotton,Monsoon,127,2403.47,6,2025-06-13,2025-06-20,2025-06-20,0
117,8,0.1,Cotton,Monsoon,232,2370.5,2,2025-01-28,2025-02-04,2025-02-04,0
118,1,0.1,Cotton,Summer,719,3389.67,5,2025-02-06,2025-02-13,2025-02-19,1
119,1,0.1,Rice,Rabi,1108,3546.35,11,2025-02-12,2025-02-19,2025-02-23,1
120,6,0.65,Maize,Rabi,250,1604.91,5,2025-04-29,2025-05-06,2025-05-16,1
121,3,0.1,Wheat,Kharif,410,4925.21,11,2025-01-26,2025-02-02,2025-02-12,1
122,1,0.1,Maize,Kharif,1176,3834.4,10,2025-03-04,2025-03-11,2025-03-11,0
123,1,0.1,Wheat,Summer,1070,4574.8,7,2025-03-23,2025-03-30,2025-03-30,0
124,9,0.1,Soybean,Rabi,554,1520.16,2,2025-05-29,2025-06-05,2025-06-05,0
125,5,0.35,Wheat,Kharif,966,2089.56,11,2025-03-26,2025-04-02,2025-04-14,1
126,2,0.1,Rice,Kharif,403,3530.6,5,2025-03-11,2025-03-18,2025-03-17,0
127,5,0.35,Soybean,Kharif,814,2830.26,5,2025-02-03,2025-02-10,2025-02-16,1
128,0,0.35,Rice,Summer,769,4006.53,2,2025-04-04,2025-04-11,2025-04-11,0
129,3,0.1,Wheat,Rabi,135,2985.85,7,2025-04-30,2025-05-07,2025-05-07,0
130,2,0.1,Soybean,Kharif,109,2111.71,10,2025-02-18,2025-02-25,2025-02-24,0
131,9,0.1,Soybean,Kharif,245,4183.3,11,2025-06-24,2025-07-01,2025-07-01,0
132,3,0.1,Cotton,Monsoon,518,3624.83,11,2025-06-02,2025-06-09,2025-06-08,0
133,3,0.1,Maize,Rabi,558,4969.4,4,2025-02-01,2025-02-08,2025-02-08,0
134,1,0.1,Maize,Rabi,1193,2742.49,5,2025-01-05,2025-01-12,2025-01-11,0
135,8,0.1,Maize,Summer,441,3843.2,8,2025-02-04,2025-02-11,2025-02-10,0
136,4,0.35,Rice,Monsoon,386,4141.93,8,2025-05-01,2025-05-08,2025-05-17,1
137,9,0.1,Cotton,Monsoon,729,4973.69,9,2025-01-30,2025-02-06,2025-02-13,1
138,7,0.1,Wheat,Kharif,837,1720.88,5,2025-03-07,2025-03-14,2025-03-14,0
139,9,0.1,Cotton,Kharif,410,2066.17,7,2025-04-11,2025-04-18,2025-04-17,0
140,8,0.1,Wheat,Rabi,233,1994.47,8,2025-05-29,2025-06-05,2025-06-05,0
141,7,0.1,Soybean,Monsoon,892,3177.74,2,2025-04-20,2025-04-27,2025-04-26,0
142,6,0.65,Rice,Monsoon,1016,1590.34,10,2025-01-12,2025-01-19,2025-02-02,1
143,0,0.35,Wheat,Rabi,1183,2776.79,4,2025-03-30,2025-04-06,2025-04-10,1
144,9,0.1,Maize,Monsoon,289,2428.86,8,2025-01-04,2025-01-11,2025-01-17,1
145,2,0.1,Rice,Summer,1186,4272.33,4,2025-01-14,2025-01-21,2025-01-21,0
146,3,0.1,Soybean,Monsoon,760,4161.01,11,2025-01-13,2025-01-20,2025-01-20,0
147,2,0.1,Soybean,Kharif,263,2799.93,2,2025-02-21,2025-02-28,2025-02-27,0
148,0,0.35,Soybean,Monsoon,653,4247.56,2,2025-05-17,2025-05-24,2025-05-24,0
149,5,0.35,Wheat,Rabi,331,3115.17,8,2025-06-26,2025-07-03,2025-07-03,0
150,1,0.1,Maize,Kharif,200,1667.41,9,2025-04-19,2025-04-26,2025-04-26,0
151,8,0.1,Wheat,Rabi,465,4970.56,5,2025-01-28,2025-02-04,2025-02-04,0
152,0,0.35,Maize,Monsoon,467,4887.51,9,2025-06-27,2025-07-04,2025-07-09,1
153,2,0.1,Soybean,Rabi,218,1646.83,3,2025-04-01,2025-04-08,2025-04-07,0
154,8,0.1,Maize,Rabi,372,4748.29,8,2025-03-19,2025-03-26,2025-03-25,0
155,4,0.35,Maize,Summer,212,3760.34,4,2025-02-08,2025-02-15,2025-02-18,1
156,0,0.35,Maize,Kharif,337,4217.57,7,2025-04-02,2025-04-09,2025-04-13,1
157,8,0.1,Wheat,Summer,187,2698.34,7,2025-01-03,2025-01-10,2025-01-10,0
158,7,0.1,Maize,Kharif,235,3115.45,9,2025-05-12,2025-05-19,2025-05-18,0
159,7,0.1,Wheat,Monsoon,1022,3907.59,10,2025-03-31,2025-04-07,2025-04-19,1
160,2,0.1,Rice,Monsoon,686,4146.93,8,2025-05-12,2025-05-19,2025-05-19,0
161,6,0.65,Rice,Summer,921,3934.66,6,2025-02-26,2025-03-05,2025-03-11,1
162,5,0.35,Soybean,Summer,797,3465.2,5,2025-06-07,2025-06-14,2025-06-13,0
163,4,0.35,Soybean,Kharif,641,4936.89,6,2025-06-25,2025-07-02,2025-07-02,0
164,4,0.35,Wheat,Kharif,575,4074.82,10,2025-05-25,2025-06-01,2025-06-09,1
165,1,0.1,Rice,Kharif,701,3557.19,10,2025-01-03,2025-01-10,2025-01-10,0
166,1,0.1,Maize,Rabi,646,3003.8,4,2025-02-18,2025-02-25,2025-02-25,0
167,8,0.1,Cotton,Rabi,1109,4682.87,9,2025-06-23,2025-06-30,2025-06-29,0
168,6,0.65,Wheat,Monsoon,1002,2364.43,9,2025-04-16,2025-04-23,2025-05-04,1
169,9,0.1,Maize,Kharif,295,2603.16,8,2025-06-09,2025-06-16,2025-06-15,0
170,2,0.1,Maize,Rabi,264,4934.54,3,2025-06-14,2025-06-21,2025-06-20,0
171,1,0.1,Rice,Kharif,260,2029.36,5,2025-03-27,2025-04-03,2025-04-12,1
172,2,0.1,Maize,Summer,522,3977.42,2,2025-04-08,2025-04-15,2025-04-15,0
173,7,0.1,Soybean,Rabi,534,3778.41,7,2025-02-07,2025-02-14,2025-02-13,0
174,6,0.65,Rice,Rabi,1191,4148.63,7,2025-03-20,2025-03-27,2025-04-04,1
175,5,0.35,Rice,Summer,1167,3385.46,5,2025-01-23,2025-01-30,2025-02-10,1
176,5,0.35,Wheat,Rabi,584,3721.04,8,2025-04-14,2025-04-21,2025-04-25,1
177,7,0.1,Maize,Summer,139,3274.68,2,2025-06-09,2025-06-16,2025-06-15,0
178,9,0.1,Rice,Monsoon,913,2618.83,2,2025-01-21,2025-01-28,2025-01-27,0
179,6,0.65,Rice,Kharif,230,3345.9,10,2025-05-13,2025-05-20,2025-05-25,1
180,6,0.65,Cotton,Kharif,1042,3780.84,10,2025-05-11,2025-05-18,2025-06-01,1
181,7,0.1,Cotton,Rabi,645,2717.79,3,2025-06-25,2025-07-02,2025-07-01,0
182,6,0.65,Rice,Summer,992,3866.62,3,2025-02-16,2025-02-23,2025-03-04,1
183,4,0.35,Maize,Monsoon,242,2244.26,4,2025-05-22,2025-05-29,2025-06-04,1
184,5,0.35,Rice,Rabi,745,3847.56,8,2025-02-15,2025-02-22,2025-02-21,0
185,0,0.35,Wheat,Rabi,695,1563.0,9,2025-05-30,2025-06-06,2025-06-05,0
186,3,0.1,Cotton,Monsoon,1079,4936.3,10,2025-01-19,2025-01-26,2025-01-26,0
187,2,0.1,Maize,Kharif,364,1543.41,9,2025-02-22,2025-03-01,2025-03-01,0
188,6,0.65,Maize,Monsoon,794,3359.61,2,2025-01-11,2025-01-18,2025-01-22,1
189,1,0.1,Soybean,Summer,1158,4402.5,9,2025-03-28,2025-04-04,2025-04-14,1
190,9,0.1,Soybean,Monsoon,604,3959.22,5,2025-01-04,2025-01-11,2025-01-19,1
191,8,0.1,Wheat,Kharif,313,2390.37,2,2025-01-27,2025-02-03,2025-02-02,0
192,3,0.1,Maize,Rabi,848,3160.01,2,2025-02-15,2025-02-22,2025-02-25,1
193,2,0.1,Soybean,Monsoon,417,2888.79,7,2025-02-06,2025-02-13,2025-02-13,0
194,1,0.1,Wheat,Kharif,496,3863.97,4,2025-02-14,2025-02-21,2025-02-21,0
195,8,0.1,Soybean,Summer,701,4842.71,11,2025-06-23,2025-06-30,2025-06-30,0
196,2,0.1,Maize,Monsoon,738,3819.33,6,2025-03-25,2025-04-01,2025-04-01,0
197,3,0.1,Cotton,Kharif,1009,3726.34,7,2025-01-03,2025-01-10,2025-01-16,1
198,0,0.35,Cotton,Rabi,357,1540.97,4,2025-04-11,2025-04-18,2025-04-25,1
199,2,0.1,Maize,Kharif,519,3855.38,8,2025-01-30,2025-02-06,2025-02-05,0
200,4,0.35,Cotton,Kharif,1198,3537.7,11,2025-05-04,2025-05-11,2025-05-14,1
201,9,0.1,Soybean,Rabi,658,2040.61,11,2025-06-20,2025-06-27,2025-06-27,0
202,2,0.1,Maize,Summer,1154,3908.96,3,2025-03-08,2025-03-15,2025-03-28,1
203,4,0.35,Wheat,Monsoon,224,3104.83,11,2025-06-19,2025-06-26,2025-07-10,1
204,9,0.1,Soybean,Monsoon,896,2509.42,5,2025-01-22,2025-01-29,2025-01-28,0
205,2,0.1,Wheat,Monsoon,442,3041.54,11,2025-03-26,2025-04-02,2025-04-01,0
206,1,0.1,Soybean,Monsoon,1008,3691.82,5,2025-03-23,2025-03-30,2025-03-29,0
207,3,0.1,Cotton,Monsoon,616,3164.41,5,2025-04-01,2025-04-08,2025-04-15,1
208,8,0.1,Cotton,Monsoon,575,1702.09,9,2025-01-12,2025-01-19,2025-01-18,0
209,7,0.1,Soybean,Rabi,794,2813.65,7,2025-05-31,2025-06-07,2025-06-07,0
210,6,0.65,Rice,Summer,703,4396.32,5,2025-03-14,2025-03-21,2025-03-31,1
211,9,0.1,Cotton,Rabi,542,1607.77,8,2025-04-03,2025-04-10,2025-04-09,0
212,9,0.1,Soybean,Monsoon,795,3350.02,4,2025-04-23,2025-04-30,2025-04-29,0
213,1,0.1,Cotton,Kharif,240,4137.0,6,2025-01-01,2025-01-08,2025-01-07,0
214,5,0.35,Maize,Monsoon,513,1585.74,4,2025-06-22,2025-06-29,2025-06-28,0
215,4,0.35,Rice,Summer,421,1755.16,9,2025-02-08,2025-02-15,2025-02-20,1
216,1,0.1,Soybean,Monsoon,420,3421.43,6,2025-01-19,2025-01-26,2025-01-26,0
217,7,0.1,Cotton,Summer,759,3889.16,3,2025-06-01,2025-06-08,2025-06-08,0
218,0,0.35,Cotton,Rabi,949,4383.22,10,2025-04-03,2025-04-10,2025-04-22,1
219,2,0.1,Soybean,Summer,988,1789.5,10,2025-06-04,2025-06-11,2025-06-15,1
220,8,0.1,Rice,Kharif,723,4777.12,4,2025-06-06,2025-06-13,2025-06-13,0
221,9,0.1,Maize,Monsoon,1028,2474.54,2,2025-01-21,2025-01-28,2025-01-27,0
222,7,0.1,Wheat,Rabi,970,3251.4,10,2025-04-15,2025-04-22,2025-05-06,1
223,0,0.35,Maize,Rabi,748,3800.74,7,2025-04-19,2025-04-26,2025-05-05,1
224,0,0.35,Rice,Rabi,1039,2882.96,9,2025-01-21,2025-01-28,2025-02-11,1
225,4,0.35,Wheat,Kharif,657,2346.61,7,2025-04-10,2025-04-17,2025-04-29,1
226,4,0.35,Rice,Summer,640,3124.33,5,2025-03-06,2025-03-13,2025-03-12,0
227,4,0.35,Soybean,Kharif,274,4325.04,3,2025-06-02,2025-06-09,2025-06-09,0
228,1,0.1,Cotton,Summer,583,3419.34,5,2025-03-16,2025-03-23,2025-04-02,1
229,1,0.1,Soybean,Rabi,588,4780.82,3,2025-06-21,2025-06-28,2025-06-27,0
230,5,0.35,Cotton,Summer,639,4219.25,2,2025-04-16,2025-04-23,2025-05-04,1
231,7,0.1,Cotton,Rabi,555,3725.84,2,2025-02-26,2025-03-05,2025-03-05,0
232,5,0.35,Rice,Kharif,347,1969.96,3,2025-03-02,2025-03-09,2025-03-08,0
233,0,0.35,Wheat,Summer,102,2080.12,9,2025-06-10,2025-06-17,2025-06-20,1
234,7,0.1,Rice,Rabi,545,3493.39,6,2025-02-24,2025-03-03,2025-03-02,0
235,7,0.1,Soybean,Summer,224,4802.96,6,2025-01-08,2025-01-15,2025-01-15,0
236,1,0.1,Wheat,Rabi,286,4860.59,3,2025-05-17,2025-05-24,2025-05-24,0
237,7,0.1,Wheat,Summer,269,2625.84,3,2025-01-22,2025-01-29,2025-01-29,0
238,9,0.1,Rice,Summer,766,4841.96,2,2025-03-08,2025-03-15,2025-03-14,0
239,8,0.1,Soybean,Monsoon,817,3677.14,5,2025-03-23,2025-03-30,2025-03-29,0
240,7,0.1,Cotton,Summer,414,2272.98,10,2025-01-22,2025-01-29,2025-01-28,0
241,1,0.1,Soybean,Summer,198,2642.18,4,2025-02-16,2025-02-23,2025-02-23,0
242,0,0.35,Rice,Summer,853,2216.38,9,2025-04-13,2025-04-20,2025-05-04,1
243,7,0.1,Cotton,Monsoon,139,1666.74,5,2025-01-04,2025-01-11,2025-01-11,0
244,9,0.1,Rice,Monsoon,962,1947.53,10,2025-02-23,2025-03-02,2025-03-10,1
245,3,0.1,Soybean,Summer,441,4052.71,7,2025-06-18,2025-06-25,2025-06-25,0
246,8,0.1,Rice,Monsoon,305,1938.75,7,2025-01-22,2025-01-29,2025-01-29,0
247,6,0.65,Cotton,Kharif,866,3311.59,2,2025-01-17,2025-01-24,2025-01-30,1
248,1,0.1,Maize,Rabi,662,2792.48,10,2025-01-15,2025-01-22,2025-01-31,1
249,3,0.1,Maize,Monsoon,862,1681.63,10,2025-02-21,2025-02-28,2025-03-07,1
250,1,0.1,Maize,Kharif,1062,3188.75,5,2025-05-26,2025-06-02,2025-06-02,0
251,7,0.1,Rice,Rabi,858,2322.41,4,2025-06-17,2025-06-24,2025-06-24,0
252,6,0.65,Rice,Summer,758,2887.94,11,2025-06-21,2025-06-28,2025-07-07,1
253,8,0.1,Rice,Rabi,474,3501.11,8,2025-03-13,2025-03-20,2025-04-03,1
254,7,0.1,Wheat,Summer,1001,2669.17,10,2025-04-30,2025-05-07,2025-05-20,1
255,6,0.65,Cotton,Monsoon,658,2835.04,2,2025-03-20,2025-03-27,2025-04-05,1
256,8,0.1,Soybean,Summer,813,4701.56,9,2025-01-17,2025-01-24,2025-01-23,0
257,6,0.65,Cotton,Kharif,524,2215.54,2,2025-01-10,2025-01-17,2025-01-21,1
258,0,0.35,Rice,Summer,318,1764.54,7,2025-05-28,2025-06-04,2025-06-03,0
259,7,0.1,Cotton,Kharif,172,3973.2,7,2025-01-02,2025-01-09,2025-01-09,0
260,4,0.35,Soybean,Summer,761,4786.7,6,2025-04-08,2025-04-15,2025-04-14,0
261,1,0.1,Cotton,Kharif,1196,4439.31,11,2025-06-15,2025-06-22,2025-06-25,1
262,6,0.65,Maize,Monsoon,466,2405.49,10,2025-04-02,2025-04-09,2025-04-09,0
263,6,0.65,Cotton,Summer,856,4571.15,5,2025-04-20,2025-04-27,2025-05-04,1
264,6,0.65,Soybean,Rabi,430,3581.81,8,2025-01-19,2025-01-26,2025-01-25,0
265,6,0.65,Cotton,Rabi,589,2996.23,7,2025-01-28,2025-02-04,2025-02-07,1
266,9,0.1,Maize,Summer,462,3732.84,7,2025-04-17,2025-04-24,2025-04-24,0
267,7,0.1,Cotton,Kharif,355,2926.72,7,2025-05-09,2025-05-16,2025-05-16,0
268,7,0.1,Cotton,Monsoon,813,4798.86,3,2025-03-25,2025-04-01,2025-04-01,0
269,6,0.65,Cotton,Rabi,845,3374.44,6,2025-03-29,2025-04-05,2025-04-16,1
270,5,0.35,Cotton,Rabi,906,2311.24,2,2025-04-19,2025-04-26,2025-05-01,1
271,3,0.1,Soybean,Kharif,570,3116.45,10,2025-06-14,2025-06-21,2025-06-30,1
272,9,0.1,Cotton,Kharif,1141,2538.75,7,2025-06-09,2025-06-16,2025-06-28,1
273,5,0.35,Wheat,Summer,346,2353.05,4,2025-06-01,2025-06-08,2025-06-07,0
274,6,0.65,Rice,Summer,548,2212.83,3,2025-06-11,2025-06-18,2025-06-18,0
275,5,0.35,Rice,Kharif,404,3876.14,11,2025-03-03,2025-03-10,2025-03-13,1
276,0,0.35,Maize,Summer,124,4059.61,10,2025-03-27,2025-04-03,2025-04-02,0
277,7,0.1,Maize,Rabi,438,4372.1,10,2025-06-23,2025-06-30,2025-06-29,0
